date,n-transactions-total
2018-05-12,315992718.0
2018-05-16,316784522.0
2018-05-20,317519701.0
2018-05-24,318354573.0
2018-05-28,319042790.0
2018-06-01,319866167.0
2018-06-05,320628257.0
2018-06-09,321415161.0
2018-06-13,322234256.0
2018-06-17,322954219.0
2018-06-21,323736973.0
2018-06-25,324463101.0
2018-06-29,325234484.0
2018-07-03,325988496.0
2018-07-07,326763721.0
2018-07-11,327545678.0
2018-07-15,328294854.0
2018-07-19,329199348.0
2018-07-23,330006442.0
2018-07-27,330977464.0
2018-07-31,331809220.0
2018-08-04,332696040.0
2018-08-08,333554382.0
2018-08-12,334361876.0
2018-08-16,335308653.0
2018-08-20,336116312.0
2018-08-24,337002185.0
2018-08-28,337831435.0
2018-09-01,338752659.0
2018-09-05,339640512.0
2018-09-09,340517266.0
2018-09-13,341444891.0
2018-09-17,342298731.0
2018-09-21,343320841.0
2018-09-25,344236324.0
2018-09-29,345202714.0
2018-10-03,346138560.0
2018-10-07,347063616.0
2018-10-11,348053877.0
2018-10-15,348961028.0
2018-10-19,349985997.0
2018-10-23,350934362.0
2018-10-27,351929533.0
2018-10-31,352989457.0
2018-11-04,354045146.0
2018-11-08,355193936.0
2018-11-12,356277368.0
2018-11-16,357423738.0
2018-11-20,358483054.0
2018-11-24,359528490.0
2018-11-28,360548754.0
2018-12-02,361509076.0
2018-12-06,362555831.0
2018-12-10,363537909.0
2018-12-14,364596118.0
2018-12-18,365651197.0
2018-12-22,366772667.0
2018-12-26,367840744.0
2018-12-30,368980920.0
2019-01-03,370039173.0
2019-01-07,371129843.0
2019-01-11,372400845.0
2019-01-15,373591457.0
2019-01-19,374779658.0
2019-01-23,375980457.0
2019-01-27,377152636.0
2019-01-31,378464436.0
2019-02-04,379761650.0
2019-02-08,381152017.0
2019-02-12,382350594.0
2019-02-16,383686764.0
2019-02-20,385019779.0
2019-02-24,386317544.0
2019-02-28,387732061.0
2019-03-04,389081411.0
2019-03-08,390211069.0
2019-03-12,391245872.0
2019-03-16,392390409.0
2019-03-20,393519539.0
2019-03-24,394595728.0
2019-03-28,396060389.0
2019-04-01,397560778.0
2019-04-05,399063502.0
2019-04-09,400491259.0
2019-04-13,402034908.0
2019-04-17,403462303.0
2019-04-21,404918202.0
2019-04-25,406360316.0
2019-04-29,407847689.0
2019-05-03,409467939.0
2019-05-07,410864056.0
2019-05-11,412286381.0
2019-05-15,413750644.0
2019-05-19,415195412.0
2019-05-23,416740497.0
2019-05-27,418228062.0
2019-05-31,419699192.0
2019-06-04,421000986.0
2019-06-08,422381534.0
2019-06-12,423706779.0
2019-06-16,425060575.0
2019-06-20,426507765.0
2019-06-24,427968264.0
2019-06-28,429496915.0
2019-07-02,430894074.0
2019-07-06,432390866.0
2019-07-10,433764593.0
2019-07-14,435059067.0
2019-07-18,436412702.0
2019-07-22,437638264.0
2019-07-26,438910919.0
2019-07-30,440128033.0
2019-08-03,441501346.0
2019-08-07,442880797.0
2019-08-11,444135872.0
2019-08-15,445518540.0
2019-08-19,446738249.0
2019-08-23,448041779.0
2019-08-27,449280974.0
2019-08-31,450660388.0
2019-09-04,451968086.0
2019-09-08,453288908.0
2019-09-12,454620184.0
2019-09-16,455850312.0
2019-09-20,457244415.0
2019-09-24,458540193.0
2019-09-28,459862484.0
2019-10-02,461123521.0
2019-10-06,462388900.0
2019-10-10,463712218.0
2019-10-14,464942535.0
2019-10-18,466295480.0
2019-10-22,467582972.0
2019-10-26,468869146.0
2019-10-30,470055810.0
2019-11-03,471247114.0
2019-11-07,472529824.0
2019-11-11,473774076.0
2019-11-15,475069560.0
2019-11-19,476249278.0
2019-11-23,477512144.0
2019-11-27,478697560.0
2019-12-01,479870557.0
2019-12-05,481170589.0
2019-12-09,482362284.0
2019-12-13,483610063.0
2019-12-17,484811929.0
2019-12-21,486089966.0
2019-12-25,487209890.0
2019-12-29,488408114.0
2020-01-02,489572666.0
2020-01-06,490763687.0
2020-01-10,492078809.0
2020-01-14,493308752.0
2020-01-18,494578989.0
2020-01-22,495819165.0
2020-01-26,497010617.0
2020-01-30,498303172.0
2020-02-03,499563560.0
2020-02-07,500892017.0
2020-02-11,502190188.0
2020-02-15,503524815.0
2020-02-19,504823586.0
2020-02-23,506069685.0
2020-02-27,507401128.0
2020-03-02,508730234.0
2020-03-06,510117441.0
2020-03-10,511412827.0
2020-03-14,512605951.0
2020-03-18,513610484.0
2020-03-22,514615625.0
2020-03-26,515664266.0
2020-03-30,516690787.0
2020-04-03,517840235.0
2020-04-07,518926212.0
2020-04-11,520037763.0
2020-04-15,521163188.0
2020-04-19,522312894.0
2020-04-23,523541482.0
2020-04-27,524705940.0
2020-05-01,526022596.0
2020-05-05,527247124.0
2020-05-09,528558865.0
2020-05-13,529794208.0
2020-05-17,530906830.0
2020-05-21,532032847.0
2020-05-25,533062704.0
2020-05-29,534231865.0
2020-06-02,535388210.0
2020-06-06,536631092.0
2020-06-10,537854272.0
2020-06-14,539060238.0
2020-06-18,540314507.0
2020-06-22,541502518.0
2020-06-26,542812617.0
2020-06-30,543968606.0
2020-07-04,545310370.0
2020-07-08,546617219.0
2020-07-12,547914934.0
2020-07-16,549246751.0
2020-07-20,550438348.0
2020-07-24,551820942.0
2020-07-28,553095438.0
2020-08-01,554422556.0
2020-08-05,555665915.0
2020-08-09,556901315.0
2020-08-13,558230773.0
2020-08-17,559488830.0
2020-08-21,560816607.0
2020-08-25,562049916.0
2020-08-29,563347869.0
2020-09-02,564613771.0
2020-09-06,565811414.0
2020-09-10,567132303.0
2020-09-14,568348616.0
2020-09-18,569700045.0
2020-09-22,570865205.0
2020-09-26,572161256.0
2020-09-30,573414811.0
2020-10-04,574614906.0
2020-10-08,575927903.0
2020-10-12,577136548.0
2020-10-16,578449559.0
2020-10-20,579591519.0
2020-10-24,580871863.0
2020-10-28,581879482.0
2020-11-01,582975972.0
2020-11-05,584172804.0
2020-11-09,585352179.0
2020-11-13,586602857.0
2020-11-17,587788639.0
2020-11-21,589120273.0
2020-11-25,590384379.0
2020-11-29,591587779.0
2020-12-03,592897766.0
2020-12-07,594058381.0
2020-12-11,595329667.0
2020-12-15,596535607.0
2020-12-19,597879066.0
