Date,DepositUSD,WithdrawUSD,DepositTxs,WithdrawTxs
2023-06-24,963182,17715596,48,699
2023-06-25,18111577,12298716,57,768
2023-06-26,46898189,19929199,65,774
2023-06-27,23635090,20620287,96,719
2023-06-28,11327274,7249717,80,661
2023-06-29,53810131,26022346,112,737
2023-06-30,1446377,14776220,68,828
2023-07-01,1210271,19716344,51,872
2023-07-02,23621655,19507872,71,910
2023-07-03,14352644,9818072,141,670
2023-07-04,2229141,7694963,22,249
2023-07-05,62262495,39113080,50,612
2023-07-06,37815340,7187461,50,495
2023-07-07,8434082,13821401,59,521
2023-07-08,4193523,17774838,44,602
2023-07-09,5883233,7235376,80,542
2023-07-10,3229447,26465291,55,658
2023-07-11,7695098,8986446,62,617
2023-07-12,4424991,30777296,71,730
2023-07-13,24912629,11865674,62,729
2023-07-14,1316081,12543906,42,677
2023-07-15,1509647,28867537,41,688
2023-07-16,53173308,22656085,50,662
2023-07-17,22325998,13581891,41,524
2023-07-18,19676428,15196588,59,771
2023-07-19,7017612.271817233,4684953.457894576,34,420
