chain,platform,pool_tokens,pool_rewards,liquidity_locked,apy,apy_max
arbitrum,curve_arbi_vstfrax,"['FRAX', 'VST']","['FXS', 'VSTA']","$4,011,990.97",1042.13%,3126.38%
ethereum,convex,['FRAX'],"['FXS', 'CRV', 'CVX']","$2,800,714.51",980.09%,4335.09%
ethereum,stakedao,['FXS'],"['FXS', 'SDT']","$1,732,951.75",931.84%,1958.31%
ethereum,frax,"['FRAX', 'pitchFXS']","['FXS', 'PITCH']","$2,653,540.78",916.67%,4454.54%
bsc,thena,"['FRAX', 'MAI']",['THE'],$0.00,906.83%,906.83%
bsc,thena,"['frxETH', 'wBETH']",['THE'],$0.00,893.80%,893.80%
ethereum,saddle,"['FRAX', 'USDC', 'sUSD']",['SDL'],"$121,567.89",887.06%,2235.50%
ethereum,frax,"['FRAX', 'FXS']",['FXS'],"$5,782,678.65",882.97%,1299.75%
ethereum,convex,['FRAX'],['FXS'],"$44,639,973.03",874.77%,1015.78%
ethereum,convex,['FRAX'],['FXS'],"$1,424,376.25",845.96%,3671.15%
ethereum,convex,"['FRAX', 'USDC', 'alUSD']","['CRV', 'CVX']","$45,672,339.30",839.64%,839.64%
bsc,thena,"['FRAX', 'BUSD']",['THE'],$0.00,830.92%,830.92%
ethereum,frax,"['FRAX', 'SYN']","['FXS', 'SYN']","$174,753.88",811.39%,2497.88%
ethereum,convex,['FRAX'],['FXS'],"$1,405,349.39",797.13%,1286.63%
ethereum,convex,"['FRAX', 'USDC', 'STG']","['CRV', 'CVX']","$3,270,633.13",776.80%,776.80%
ethereum,convex,['FRAX'],['FXS'],"$4,813,940.80",767.13%,1283.06%
arbitrum,saddle,"['FRAX', 'USDC', 'USX']",['SDL'],$122.24,755.60%,1811.90%
ethereum,frax,['FRAX'],['FXS'],"$2,652,530.95",745.66%,1262.07%
ethereum,convex,['FRAX'],"['FXS', 'CRV', 'CVX']","$6,695,921.31",737.23%,2523.09%
arbitrum,ramses,"['frxETH', 'ETH']",['RAM'],"$323,762.08",732.95%,1832.37%
fantom,spiritswap,['FRAX'],['FRAX'],"$26,581.43",732.37%,732.37%
optimism,beefy_finance,['FRAX'],['FRAX'],"$619,848.66",721.17%,7057.33%
ethereum,convex,['FRAX'],['FXS'],"$69,071,099.24",714.21%,1179.21%
ethereum,stakedao,"['cvxFXS', 'FXS']","['SDT', 'CRV']",$2.14,689.01%,689.01%
arbitrum,chronos,"['FRAX', 'USD+']",['CHR'],"$240,387.49",685.00%,1370.00%
ethereum,convex,['FRAX'],['FXS'],"$277,870.14",683.85%,1009.42%
ethereum,convex,"['FRAX', 'USDC', 'BADGER']","['CRV', 'CVX']","$1,406,920.88",674.28%,674.28%
ethereum,convex,['FRAX'],['FXS'],"$87,417.86",666.21%,3068.14%
ethereum,convex,"['FRAX', 'USDC', 'XAI']","['CRV', 'CVX']","$4,816,976.61",638.24%,638.24%
bsc,thena,"['sfrxETH', 'frxETH']",['THE'],$0.00,630.36%,630.36%
avalanche,beefy_finance,['FRAX'],['FRAX'],"$9,390.09",627.07%,1019.36%
arbitrum,chronos,"['frxETH', 'sfrxETH']",['CHR'],"$198,255.83",627.00%,1253.00%
ethereum,convex,"['FRAX', 'USDC', 'clevUSD']","['CRV', 'CVX']","$3,255,515.60",602.56%,602.56%
ethereum,convex,"['ETH', 'frxETH']","['CRV', 'CVX']","$71,815,210.14",597.81%,597.81%
ethereum,convex,['FRAX'],['FXS'],"$1,497,773.23",567.61%,1608.45%
ethereum,bunni,"['frxETH', 'WETH']","['FXS', 'oLIT']",$3.76,549.19%,2745.93%
ethereum,convex,['FRAX'],['FXS'],"$87,287.80",506.41%,2434.24%
optimism,saddle,"['FRAX', 'USDC', 'USDT']",['SDL'],$89.94,503.41%,1258.52%
polygon,balancer,"['frxETH', 'WETH']","['FXS', 'BAL']","$17,839.39",485.99%,1943.95%
ethereum,balancer,"['sfrxETH', 'wstETH', 'rETH']",['BAL'],"$36,330.00",475.00%,475.00%
ethereum,convex,"['FXS', 'ETH']","['CRV', 'CVX']","$577,927.24",437.19%,437.19%
ethereum,stakedao,"['sdFXS', 'FXS']","['SDT', 'CRV']","$25,463.23",423.18%,423.18%
bsc,thena,"['frxETH', 'ETH']",['THE'],$0.00,422.69%,422.69%
ethereum,convex,['FRAX'],['FXS'],"$73,222.12",388.48%,1927.98%
ethereum,convex,['FRAX'],['FXS'],"$7,070,568.19",385.45%,1748.02%
ethereum,convex,['FRAX'],"['FXS', 'CRV', 'CVX']","$170,202.16",382.41%,1775.00%
ethereum,frax,"['FRAX', 'FPIS']","['FXS', 'FPIS']","$2,707,792.43",381.06%,1279.18%
ethereum,convex,['FRAX'],['FXS'],"$50,139.78",371.57%,371.62%
ethereum,convex,"['FRAX', 'USDC', 'GUSD']","['CRV', 'CVX']","$59,566.29",371.55%,371.55%
ethereum,convex,"['FRAX', 'USDC', 'OHM']","['CRV', 'CVX']","$1,504,287.11",307.34%,307.34%
moonriver,alphadex,"['FRAX', 'USDC']",['BBROAR'],"$3,920.35",300.20%,300.20%
ethereum,frax,"['FRAX', 'OHM']","['FXS', 'OHM']","$496,063.72",295.70%,1478.51%
ethereum,convex,['FRAX'],['FXS'],"$674,330.87",290.34%,452.70%
arbitrum,saddle,"['FRAX', 'USDC', 'USDT']",['SDL'],$44.03,246.08%,246.08%
fantom,spiritswap,"['FRAX', 'USDC']",['SPIRIT'],"$97,153.07",241.80%,241.80%
ethereum,convex,['FRAX'],['FXS'],$0.05,223.44%,223.44%
arbitrum,ramses,"['FRAX', 'FXS']",['RAM'],"$1,821.56",219.18%,547.96%
arbitrum,chronos,"['frxETH', 'WETH']",['CHR'],"$253,664.16",212.00%,425.00%
ethereum,convex,['FRAX'],['FXS'],$186.41,209.09%,214.14%
moonbeam,stellaswap,"['FRAX', 'axlUSDC', 'USDT', 'BUSD', 'USDC']","['STELLA', 'GLMR']",$100.80,208.62%,208.62%
ethereum,convex,['FRAX'],['FXS'],"$698,142.69",207.44%,414.96%
arbitrum,dforce,['FRAX'],"['FRAX', 'DFORCE']",$429.71,206.63%,206.63%
bsc,wombat,['FRAX'],['WOM'],"$81,740.88",202.28%,226.33%
fantom,spiritswap,"['FRAX', 'FTM']",['SPIRIT'],"$540,795.33",189.83%,189.83%
ethereum,tokemak,['FRAX'],['TOKE'],"$531,591.73",181.42%,181.42%
bsc,apeswap,"['FRAX', 'BUSD']",['BANANA'],"$12,380.34",161.56%,161.56%
ethereum,convex,['FRAX'],"['FXS', 'CRV', 'CVX']",$0.76,141.34%,141.34%
ethereum,convex,['FRAX'],['FXS'],"$1,088,579.47",140.68%,140.68%
ethereum,convex,"['FRAX', 'USDC', 'RSR']","['CRV', 'CVX']","$1,100,492.85",140.68%,140.68%
bsc,wombat,['frxETH'],['WOM'],"$58,352.80",138.58%,199.38%
ethereum,aave,['aFRAX'],"['FXS', 'stkAAVE']","$510,653.93",128.15%,264.29%
avalanche,traderjoe,"['FXS', 'AVAX']",['JOE'],"$1,349.65",127.07%,127.07%
avalanche,traderjoe,"['FRAX', 'gOHM']",['gOHM'],"$5,351.29",117.11%,117.11%
