Date,Optimism_Circulating,DFK_Circulating,Kadena_Circulating,ThunderCore_Circulating,BSC_Circulating,Flow_Circulating,Dogechain_Circulating,Astar_Circulating,Oasis_Circulating,Telos_Circulating,Arbitrum_Circulating,Tron_Circulating,TomoChain_Circulating,zkSync Lite_Circulating,Evmos_Circulating,Arbitrum Nova_Circulating,Milkomeda C1_Circulating,SXnetwork_Circulating,Aptos_Circulating,RSK_Circulating,Moonbeam_Circulating,zkSync Era_Circulating,Hedera_Circulating,Aurora_Circulating,Loopring_Circulating,Stellar_Circulating,Algorand_Circulating,Polygon_Circulating,DefiChain_Circulating,Canto_Circulating,Karura_Circulating,Metis_Circulating,Wanchain_Circulating,Kava_Circulating,Ontology_Circulating,Moonriver_Circulating,Mixin_Circulating,Avalanche_Circulating,Klaytn_Circulating,Meter_Circulating,REINetwork_Circulating,Osmosis_Circulating,Ethereum_Circulating,Gnosis_Circulating,EthereumClassic_Circulating,Celo_Circulating,Fuse_Circulating,Fantom_Circulating,Polygon zkEVM_Circulating,OKExChain_Circulating,Terra Classic_Circulating,Kardia_Circulating,KCC_Circulating,Near_Circulating,Crab_Circulating,Elastos_Circulating,Boba_Circulating,Theta_Circulating,Syscoin_Circulating,Solana_Circulating,Ronin_Circulating,MultiversX_Circulating,Everscale_Circulating
2022-08-31 20:00:00,386705203.806042,3600867.712298485,228539.686837,0,1181775209.2896879,14540504,7684177.281498,11595018.942916,2170827.9601381803,1094065.795831,839267659.530392,3437286093.46,171.642596,12639132.407692,186253.888932,0,2834700.2759910002,1140287.255904,0,93.84942,16550577.115187,0,10715120,75155888.396871,22947382.357499,177637510,177027318.038528,1782235657.3534176,17885000,33268675.974655,304718.17468,30665348.396119,1718315.291617,99.953588,6017518.09005108,36664412.275498,0,1414674177.7680326,29753839.524846,574695.773104,0,0,37220738381.43281,47433021.65717,20662.438653,5329676.435787451,1796004.849067,343616540.3630938,0,6254777.9053677395,173562.488204,738426.073831,29337861.84516175,39370310.644810006,40763.250549,914289.289905,3349171.904434,98448.594612,718746.369148,4031224934.0315886,32945939.602264,43279535.933625,5222619.100729
2022-09-01 20:00:00,392363827.104637,3609427.8990840833,228539.686837,0,1181779134.004054,13861522,7829812.156907,11678817.284124,2170827.9601381803,1094065.795831,841685228.91956,3431779914.08,171.642596,12594882.576698,185542.85631399998,325627.735765,2835450.2759910002,1165718.984585,0,93.84942,16507248.209905,0,10035643,75346615.794147,22971548.032539,176967964,173008610.398208,1776885328.337369,17885000,33207580.100802,305318.326111,30796298.098006,1718416.291617,99.953588,6017518.09005108,36961727.105498,0,1419918288.0094554,29654702.651618,574695.773104,0,0,37002632143.02288,47075024.641613,20714.168653,5213475.153064451,1796004.849067,342977499.405544,0,6254777.9053677395,173562.488204,719789.876694,29337861.84516175,39492134.852727994,40763.250549,914289.289905,3347966.295599,98448.594612,718746.369148,4010971037.991145,32945939.602264,43221921.158325,5072671.201389
2022-09-02 20:00:00,392812719.698078,3705213.2325128815,221076.465312,0,1181806892.8145761,14828224,7701937.841226,11715674.092828002,2171027.1927531804,1094065.795831,832324679.774088,3432057249.87,171.642596,12591206.801132,186023.498322,321005.586959,2819172.383183,1174999.728189,0,93.84942,16411653.026203,0,11000730,75575713.439038,23132003.500257,177988495,176912452.968448,1780385170.2513156,17885000,36584289.723293,311314.434163,30962748.621704,1718910.61774,99.953588,5759211.522946979,42105351.571193,0,1380625777.8803232,29496958.137872,574695.773104,17546.056007,16648005.222469855,36945026793.83156,46675955.117963,20714.168653,4854038.880115302,1796011.609071,342804258.3389609,0,6254777.9053677395,173299.48820400002,702702.999814,29337881.84516175,39089568.73583001,40761.922946,914289.289905,3335610.560565,98448.594612,723647.369148,3929244815.9723206,32945939.602264,43081125.158325,5072671.201389
2022-09-03 20:00:00,388341307.639647,3683970.427575782,218400.465312,0,1181816016.941056,13839498,7791059.126573,11559549.414180001,2187196.0119431806,1094065.795831,832734043.195854,3426671034.22,171.642596,12634796.657772,186398.337964,321990.889542,2824185.887182,1200358.793763,0,93.84942,16407220.095406001,0,10074286,73920806.911669,23159897.248944,177016890,172908444.719104,1781734983.534819,17885000,36835752.293944,299099.882828,30984501.306219,1718910.61774,99.953588,5807246.94920602,41956627.151176,0,1375137609.369811,29766414.174608,574893.426388,17546.056007,16573154.626607465,36993328096.70605,46672146.223659,20714.168653,4804691.019306303,1792169.999701,342496292.2627669,0,6254777.9053677395,173299.488204,709767.806258,29342881.84516175,38844945.370206,40761.922946,914289.289905,3335610.560565,98448.594612,723647.369148,3924095306.246755,32945939.602264,43080460.158325,5072671.201389
2022-09-04 20:00:00,389186063.950073,3668965.680367617,218675.465312,0,1181810070.2021563,13839498,8107550.462514,11547516.899435,2192266.32639718,1094065.795831,836237109.5039,3425684773.32,171.642596,12622135.811387,187499.82062399999,349261.609502,2831181.887182,1162409.395004,0,93.84942,16358971.123796001,0,10074286,73208544.279202,23162817.533681,176997924,172908444.719104,1783588331.7275198,17885000,37486056.080498,305098.76544,30986501.443587,1718311.750376,99.953588,5817246.94920602,41942473.43932,0,1375292181.8546562,29790936.670371,574893.426388,17546.056007,16782613.685524188,37017227751.90646,45631513.601931,20714.168653,4768710.864796302,1777961.393769,342589170.3806459,0,6254777.9053677395,173299.488204,714790.781211,29344312.96832614,38491687.144445,40761.922946,914289.289905,3335610.560565,98448.594612,723647.369148,3924774344.28165,32945939.602264,43072311.858325,5072671.201389
2022-09-05 20:00:00,388767398.452727,3632185.9475388294,218732.465312,0,1181799093.1137028,13837163,8331029.900559,11552114.942137001,2175613.32639718,1090813.620505,840997216.375525,3420555909.84,171.642596,12701643.938368,155972.391923,358625.30015,2831218.780056,1172869.783586,0,93.84942,16261793.415389001,0,10016027,72617299.17598,23101333.567459,176984255,172188569.337856,1785400593.662812,17885000,38674607.600431,285854.350684,30776391.794086,1718312.932753,99.953588,5235495.289205934,40171531.095106,0,1362466255.811212,29662483.447379,574893.426388,17546.056007,16719559.824182292,37009153473.75165,45849329.012602,20714.168653,4135179.5388003024,2026064.144661,342136641.0817339,0,6254777.9053677395,173299.488204,709967.981776,29347747.977498136,38145520.275933,40761.922946,898798.925009,3333448.473326,98448.594612,723647.369148,3926805232.150423,32945939.602264,43085311.858325,5072671.201389
2022-09-06 20:00:00,391314355.697857,3616669.284671716,220173.549972,0,1181799002.9165547,13507861,8199781.120236,11504351.912176002,2175643.51903718,1090813.620505,847898455.227774,3329294553.49,171.642596,12601650.51983,155848.18154999998,368610.847269,2831218.780056,1484445.955648,0,93.84942,16233090.454287,0,9593252,72522649.394805,23056110.178099,175771852,173814213.429248,1779420040.53975,17885000,40345493.841804,287353.610734,30780391.794086,1715726.427743,99.953588,5023526.305694009,40612354.947611,0,1359053702.3918912,29498180.706481,575372.263423,17546.056007,16153782.189233005,36821422015.15582,45771222.931477,20714.168653,3742381.780926302,2026064.144661,344539779.9851079,0,6254777.9053677395,173135.238951,695349.908196,29347747.977498136,39568176.15586001,40761.922946,898798.925009,3104091.397309,97969.757577,723647.369148,3927479506.201903,32945939.602264,42892708.738325,5072671.201389
2022-09-07 20:00:00,393768054.416768,3532163.7616061205,221173.549972,0,1181800294.2886188,15143574,7917782.623725,11358608.551801002,2175643.51903718,1090813.620505,844582005.027577,3282099337.98,171.642596,12592183.132814,155577.51035300002,518503.088477,2831218.780056,1517765.844612,0,93.84942,16232228.392675998,0,11361683,71311223.558939,22935971.465094,178092531,180783761.248256,1776338329.940553,17885000,39983070.453023,264689.568878,30463101.867217,1716221.427743,99.953588,5023526.305694009,40601200.947611,0,1346129133.8850303,29479803.663058,576068.977337,17546.056007,17108306.308496375,37006412126.3432,45699850.454387,20714.168653,3507267.8630183022,2026064.144661,343953404.26253885,0,6254777.9053677395,173135.238951,687733.591751,29349135.881999504,40197722.165801,40761.922946,898798.925009,2907007.674233,98473.484232,718856.214421,3931606263.441689,32945939.602264,42809871.042125,5072671.201389
2022-09-08 20:00:00,385429644.018344,3528094.1653897767,221725.549972,0,1181800369.5623004,15406409,8042118.66951,11356334.547092,2175622.83759018,1090813.620505,848327257.853301,3275946236.94,171.642596,12607739.208228,177582.507571,518503.088477,2831218.780056,1510425.841275,0,93.84942,16229155.73198,0,10715508,71512860.025939,22891347.732256,177147467,175324709.367808,1779573131.283455,17885000,36601684.964115,279207.790029,30262886.844049,1716234.363288,99.953588,5683526.305694009,40937759.409711,0,1331522666.9550743,29303247.431427,576068.977337,17546.056007,18832199.079057463,36992440329.50967,45292672.432567,20714.168653,3444367.347872297,2026064.144661,340926759.9021552,0,6254777.9053677395,173134.055312,685524.451661,29349137.881999508,40256828.805783,40761.922946,856969.407792,2906957.584593,98473.484232,718856.214421,3933637872.900947,32945939.602264,42869401.042125,5063815.696364
2022-09-09 20:00:00,391961592.517593,3531160.0234100274,221725.549972,0,1181785049.7662709,15678041,8042627.496542,11311758.799564,2175468.9047011803,1090813.620505,852291538.442843,3271369283.49,171.642596,12340151.377914,176191.143617,518503.088477,2830700.770095,1568288.230523,0,93.84942,16186670.935351,0,10715508,71259151.425195,23188878.876511,185824344,169107002.288128,1773117980.688359,17885000,36378554.464227,287203.71996,30262386.773636,1674133.442444,99.953588,5683526.305694009,40997973.868249,0,1321842358.2545724,29315729.022048,580568.977337,17546.056007,19654299.90282326,37056519629.2324,41519796.92807,20714.168653,3411942.584905297,2026064.144661,340755658.112389,0,6254777.9053677395,173134.055312,694660.865318,29355178.811058838,40594367.92785901,41761.922946,875964.553671,2905955.480802,98473.484232,718856.214421,3933183610.3654633,32945939.602264,42847086.212125,5063815.696364
