date,Bitcoin,Ethereum
2021-09-19,891560241243.0585,392513622186.47833
2021-09-20,805826302811.3501,348966852277.93604
2021-09-21,760802031650.6051,322261202754.7664
2021-09-22,820460824050.9529,359840797180.9415
2021-09-23,846615719473.8734,371681653192.37537
2021-09-24,809772498812.6799,349627373001.0197
2021-09-25,808279417023.3408,347010586155.9232
2021-09-26,825341135635.7169,359680654321.7558
2021-09-27,794889951096.439,346015184170.8788
2021-09-28,775534111089.4891,330646942649.06793
2021-09-29,782626384092.2843,335476370747.3378
2021-09-30,827840965059.6127,355017980604.5097
2021-10-01,906929641888.8245,388950236002.1381
2021-10-02,900582483713.1118,399455864987.66345
2021-10-03,910331395887.4816,403971441903.55585
2021-10-04,927812140868.0522,400955543856.1877
2021-10-05,973040988102.9114,415494260964.53455
2021-10-06,1044675252844.3663,423560000564.3804
2021-10-07,1015246512238.866,423610266229.8694
2021-10-08,1016650501581.1074,419918377734.5956
2021-10-09,1038524699061.4408,421836191767.0316
2021-10-10,1030788036761.6326,404765054558.19244
2021-10-11,1084736227837.6608,415159189478.8265
2021-10-12,1061829863954.1321,412579624206.76843
2021-10-13,1083366079898.5513,425077639326.6074
2021-10-14,1082900149762.5826,447060207235.15424
2021-10-15,1164782155730.3254,457796523350.2234
2021-10-16,1153847028824.7434,453064999520.12646
2021-10-17,1160650121141.9934,453191180361.09015
2021-10-18,1173944883529.633,443346920004.58325
2021-10-19,1217582580302.557,457653555321.406
2021-10-20,1250376460615.7495,491589810670.4509
2021-10-21,1178926819140.8179,481528471021.37964
2021-10-22,1151508584004.7793,471642481174.71185
2021-10-23,1161166467847.4336,493125402509.4343
2021-10-24,1153315262663.0586,482164548780.28937
2021-10-25,1192131994832.5864,499491060520.2567
2021-10-26,1143497865064.6724,489450382752.54156
2021-10-27,1105754837660.925,466683206492.3765
2021-10-28,1145912030969.1882,505970778337.4693
2021-10-29,1178047465292.3657,521746545883.6817
2021-10-30,1166423768409.5984,511066583044.32874
2021-10-31,1159841954948.4832,507889381626.9908
2021-11-01,1152831210803.7048,511441678721.3504
2021-11-02,1186951581189.4705,539884557845.201
2021-11-03,1187048124213.9268,543311992233.9774
2021-11-04,1157101738112.7314,534623910067.6353
2021-11-05,1154530569293.3604,531116824617.7209
2021-11-06,1162489871875.4807,534139628777.6332
2021-11-07,1191631271447.797,546469946549.37506
2021-11-08,1278797895528.3608,571665766496.0859
2021-11-09,1268116896159.246,560964266378.8303
2021-11-10,1221681091090.6301,548699344220.5352
2021-11-11,1228606858156.6921,560226056358.6504
2021-11-12,1215930166022.9006,552938385233.9376
2021-11-13,1220299721850.586,551228905630.0963
2021-11-14,1239021452560.904,546963335748.59625
2021-11-15,1206711952537.9358,541673876615.1028
2021-11-16,1141910823555.9597,501391963927.7868
2021-11-17,1138136620641.4888,507387229348.5558
2021-11-18,1075758915731.0365,472465696561.25507
2021-11-19,1103594176399.3167,509116804761.8423
2021-11-20,1134300362589.2896,524536655944.9339
2021-11-21,1120610791475.7502,514388218179.73724
2021-11-22,1064619437494.1869,485391988431.9048
2021-11-23,1090380950871.23,515843824526.39667
2021-11-24,1080039673037.4923,505609296276.3257
2021-11-25,1112182356756.767,535082405000.054
2021-11-26,1016487054819.7161,479414339295.46326
2021-11-27,1030781591912.8181,483997326749.38934
2021-11-28,1080980050980.763,508385171334.4435
2021-11-29,1092574224475.6908,527331112023.3339
2021-11-30,1076804436724.3245,549758919636.0618
2021-12-01,1079838995016.5873,544051345075.8544
2021-12-02,1067406204922.5636,537814995667.8384
2021-12-03,1016040747069.7008,502863051143.01685
2021-12-04,930097457941.656,485429065737.4593
2021-12-05,932015145132.0604,497049834886.77576
2021-12-06,953396710269.5476,515778007028.56696
2021-12-07,956961313925.818,511409310852.7245
2021-12-08,954800139986.473,525850414062.19104
2021-12-09,904878061656.8508,494841071220.93524
2021-12-10,893919955029.865,467266449092.32294
2021-12-11,930603779263.9766,484278596802.5053
2021-12-12,945932497231.4797,490316653455.3707
2021-12-13,882570058436.5184,449137302105.9432
2021-12-14,915015634616.989,457658155854.8058
2021-12-15,925006387197.2257,476630620294.2814
2021-12-16,901558072618.6224,471365651341.3005
2021-12-17,875783175210.4042,462267569583.3989
2021-12-18,887944269264.0427,471195598700.43604
2021-12-19,884905649263.6449,467396185408.52454
2021-12-20,890808857615.3627,471319155562.1543
2021-12-21,929203956014.2224,480570348192.474
2021-12-22,921888029984.8673,475334762859.67194
2021-12-23,960809259355.0854,488290658809.1535
2021-12-24,962312381228.0947,482498690510.26416
2021-12-25,958099737762.7762,488792890035.21063
2021-12-26,961723851972.3851,484795501758.7465
2021-12-27,960280703699.8921,481030381194.1921
2021-12-28,902655839568.4547,453976220406.2239
2021-12-29,874314106559.5542,432082393736.3374
2021-12-30,892648631305.5416,441654436877.796
2021-12-31,876192941903.0961,439790867552.76666
2022-01-01,904551946917.3206,449804685410.7303
2022-01-02,897536090320.9355,456852400304.9327
2022-01-03,880330191985.1965,448609586227.47644
2022-01-04,876242689666.1957,454574318762.6068
2022-01-05,827723202715.1049,424088794962.4891
2022-01-06,819522879407.0583,407652437129.1328
2022-01-07,787735561341.1113,381283293110.7904
2022-01-08,792892599975.9554,369734313550.987
2022-01-09,791648558214.5575,375219467789.3698
2022-01-10,792407724467.5966,367654760059.0176
2022-01-11,809621515508.4065,387505881839.82996
2022-01-12,832460077955.3481,402763358249.81146
2022-01-13,806510860231.8285,388039946028.0792
2022-01-14,816129314317.4397,394664610644.99524
2022-01-15,816800318526.6782,396899234936.6389
2022-01-16,816325578941.135,400232172277.67896
2022-01-17,800822650383.9624,383428420242.12994
2022-01-18,803962100417.9756,377918294939.4783
2022-01-19,790507925308.7825,371296193085.12195
2022-01-20,774235809673.4731,360580494818.73
2022-01-21,692855029162.9379,306644499897.7337
2022-01-22,666220701468.4846,286799916366.57184
2022-01-23,687575973800.0704,302626363351.5348
2022-01-24,696465421899.37,292022326101.0083
2022-01-25,700571452648.8236,293702336549.67474
2022-01-26,700165819656.2855,295723346868.75024
2022-01-27,702311456032.8538,287829476402.6202
2022-01-28,717026944842.8334,304305302571.33734
2022-01-29,722829009646.1814,310059710546.2545
2022-01-30,719570142321.8397,311602914058.75037
2022-01-31,727905398095.9747,320354563857.1168
2022-02-01,736102274236.6057,334032944115.64844
2022-02-02,700645616423.8325,321296521004.9529
2022-02-03,703003347951.7092,317503695895.34064
2022-02-04,777355085535.6107,354558118293.0548
2022-02-05,786295053042.2418,361600442694.43896
2022-02-06,804942041477.0581,366038313761.43805
2022-02-07,833392518214.8341,376351043607.997
2022-02-08,837406846076.2306,374043919421.316
2022-02-09,841339973338.8694,387321193246.79065
2022-02-10,826942197610.3904,368377710139.77985
2022-02-11,803706779791.898,350133590835.08734
2022-02-12,799547462142.6093,347517755313.83966
2022-02-13,802059713029.3901,345252969326.4971
2022-02-14,808280617642.0496,351368910987.00305
2022-02-15,848321283143.9929,381791121976.2447
2022-02-16,836256083783.791,376071884044.5087
2022-02-17,770096677778.6456,345252572787.0988
2022-02-18,759881874201.3011,333997569707.84204
2022-02-19,761447243939.9269,330814655802.00714
2022-02-20,730381814665.4404,315015971538.73315
2022-02-21,703004241590.1829,308836894427.69006
2022-02-22,727094284067.6588,317004525462.3889
2022-02-23,708829287814.1068,310997586955.65283
2022-02-24,727657714638.0917,311533514951.14
2022-02-25,745763194704.1796,333625150661.6757
2022-02-26,741083625917.93,332645349329.944
2022-02-27,717619764688.0872,314566178973.5596
2022-02-28,819019441071.749,349056335389.1799
2022-03-01,841254375272.0455,355855644056.71844
2022-03-02,834437956671.6672,353807222059.12616
2022-03-03,807454920681.7217,340585349633.38696
2022-03-04,743810477766.2219,314336377085.58026
2022-03-05,748197160856.1006,319334318240.9434
2022-03-06,729501899968.2964,306675297178.70435
2022-03-07,723198804467.6718,299834957580.4126
2022-03-08,735453953725.9198,309291567872.3395
2022-03-09,796849504897.2562,327144318378.6509
2022-03-10,749384110700.1091,313054369877.37134
2022-03-11,738267961692.6816,307992205234.7309
2022-03-12,738456528057.6692,309539252974.5316
2022-03-13,718551088031.3688,302103577555.32056
2022-03-14,751354026218.9767,310467033555.37006
2022-03-15,747642430663.595,314931220494.93384
2022-03-16,779761001844.4108,333204590005.1927
2022-03-17,778474325709.8895,338097336083.8262
2022-03-18,794378970588.3145,353539105454.5327
2022-03-19,800887993391.0255,353770129278.67426
2022-03-20,784054464871.6631,343170506313.24133
2022-03-21,779205413378.8728,347666776668.2674
2022-03-22,803937099701.4115,356813271188.88025
2022-03-23,810894331277.664,363715804798.513
2022-03-24,834251096724.507,373177111114.7027
2022-03-25,842031938721.7855,373074920726.7511
2022-03-26,845235093872.7649,377825418684.3759
2022-03-27,887283025181.1342,394486853105.0086
2022-03-28,892747620147.7012,399977979554.21063
2022-03-29,901430001888.9999,408153998267.8274
2022-03-30,895356010540.8462,407460530687.7479
2022-03-31,865010142444.9791,394628513775.2061
2022-04-01,879144224206.3806,414854897478.46454
2022-04-02,871050305858.7916,413595262456.1556
2022-04-03,882346640419.069,423410516389.8548
2022-04-04,885584977681.2438,423367935034.98956
2022-04-05,867247321783.443,412944890807.9602
2022-04-06,820983263462.4961,382808702033.7895
2022-04-07,827032889944.6309,388867320187.2107
2022-04-08,804272478980.6077,382662893229.3914
2022-04-09,812734148492.5116,392551461530.81824
2022-04-10,803574629064.9272,388982079663.2629
2022-04-11,752680814425.1921,360149250762.0514
2022-04-12,764314681923.3135,365661388410.7189
2022-04-13,783560801481.9719,375767680796.0061
2022-04-14,759703443634.6515,363962080917.9128
2022-04-15,771666602547.5923,366695398817.36127
2022-04-16,770439827829.2395,369787917596.8767
2022-04-17,755627152747.4514,360748880962.95123
2022-04-18,776463403746.4385,368758484169.854
2022-04-19,789141783336.2104,373782979942.61957
2022-04-20,787437397453.9304,370910549448.9755
