name,display_name,change_1d,change_7d,change_1m
OpenLeverage,OpenLeverage,174.95,178.51,-0.56
OPX Finance,OPX Finance,172.09,30.63,-79.11
OraiDEX,OraiDEX,-85.58,-79.47,-90.05
Orca,Orca,96.74,-7.26,99.13
Orderly Network,Orderly Network,102.06,-28.38,-15.26
Osmosis DEX,Osmosis DEX,9.06,22.61,-18.44
Oswap AMM,Oswap AMM,56.66,-31.43,-80.97
Pact,Pact,40.81,-52.44,26.64
PadSwap,PadSwap,164.94,25.79,242.61
Paint Swap,Paint Swap,2425.5,1.77,995.31
Pandora Swap,Pandora Swap,149.22,,62.32
Pangea Swap,Pangea Swap,38.97,-17.37,-60.61
Pangolin,Pangolin,-68.63,63.9,-16.09
PayCash,PayCash,-9.11,-97.4,324.88
PearlFi,PearlFi,216.71,241.94,90.32
PegaSys V2,PegaSys V2,82.37,-80.11,-58.41
Penguin,Penguin,,,
PheasantSwap,PheasantSwap,-72.06,3963.4,-93.71
PhotonSwap Finance,PhotonSwap Finance,,,
PinkSwap,PinkSwap,30.27,-80.63,-94.36
Pinnako,Pinnako,-18.15,-64.91,
Platypus Finance,Platypus Finance,-33.76,214.95,-39.19
Plenty,Plenty,-67.87,-7.82,-20.15
Polkaswap,Polkaswap,-40.57,40.85,-16.11
Polycat,Polycat,46.04,-6.9,-35.27
PonytaSwap,PonytaSwap,0.28,0.62,-1.83
ProtoFi,ProtoFi,-29.64,-48.58,3.14
PulseX V1,PulseX V1,30.11,31.54,-48.02
PulseX V2,PulseX V2,0,-99.46,-99.51
PYEswap,PYEswap,,,
Quickswap Dex,Quickswap V2,-10.21,15.75,-7.5
Quickswap V3,Quickswap V3,66.25,22.37,-5.23
QuipuSwap V1,QuipuSwap V1,-16.63,57.91,-21.4
RadioShack,RadioShack,-47.47,124.09,57.57
Ramses V1,Ramses V1,-35.87,-26.38,-45.32
Ramses V2,Ramses V2,20.39,-9.96,-19.94
Raydium,Raydium,83.51,-3.39,227.5
Reax Swaps,Reax Swaps,-18.14,,
Ref Finance,Ref Finance,-22.87,-76.44,-77.66
Rubicon,Rubicon,51.98,246.36,
Saber,Saber,47.44,49.12,413.72
Saddle Finance,Saddle Finance,751.67,50.7,523.67
Saros,Saros,,,
SatoshiCoreSwap,SatoshiCoreSwap,,,
SaucerSwap,SaucerSwap,2.62,-27.93,239.32
Serum,Serum,,,
SharkSwap,SharkSwap,36.4,-58.92,12.76
Shell Protocol,Shell Protocol,-70.59,-87.93,-85.01
ShibaSwap,ShibaSwap,12.6,3.81,-74.95
SmartDEX,SmartDEX,131.47,6.47,5.46
Solarbeam,Solarbeam,-37.55,0.02,101.55
Solarflare,Solarflare,-60.93,-82.7,57.68
SolidLizard,SolidLizard,36.64,-67.06,-72.15
Solidly,Solidly,311.52,78.11,-24.19
Solidly V2,Solidly V2,5961.75,2684.48,43890.25
SoulSwap,SoulSwap,41.6,-37.37,317.13
Soy Finance,Soy Finance,-17.28,72.51,-50.82
SpaceDex,SpaceDex - SWAP,230.19,169.39,-86.31
Spartacus Exchange,Spartacus Exchange,0,-91.77,-100
Spartan,Spartan,80.92,-46.55,-64.25
Sphynx,Sphynx,97.13,232.54,157.73
SpiritSwap AMM,SpiritSwap AMM,5.92,-27.48,105.77
SpookySwap,SpookySwap,29.2,22.1,204.14
StellarX,StellarX,52.56,-60.79,344.23
StellaSwap V2,StellaSwap V2,34.61,-64.5,-3.19
StellaSwap V3,StellaSwap V3,-1.48,4.81,-42.93
Step Exchange,Step Exchange,26.16,-19.55,-70.19
Subzero ZSwap,Subzero ZSwap,0,,-99.12
SUNSwap V1,SUNSwap V1,2.62,17.4,-41.65
SUNSwap V2,SUNSwap V2,5.74,-5.85,-50.62
Surfswap Classic,Surfswap Classic,-36.55,-92.39,
Surfswap Stable AMM,Surfswap Stable AMM,171.2,-80.26,
SushiSwap,SushiSwap,19.09,1.41,-2.86
Sushi Trident,Sushi Trident,-22.88,-23.49,-60.1
SushiSwap V3,SushiSwap V3,0.86,10.63,38.51
Swapline,Swapline,37.37,1.82,34.67
Swappi,Swappi,46.56,164.28,-43.16
Swapr,Swapr,150.07,-1.01,43.12
Synthetify,Synthetify,,,
Syrup Finance,Syrup Finance,,,
Tealswap,Tealswap,-10.92,92,-67.26
TempleDAO Trade,TempleDAO Trade,,,
Terraswap,Terraswap,,,
Tethys AMM,Tethys AMM,33.58,-65.59,3.35
Tetu Swap,Tetu Swap,-6.77,-67.33,-38.4
ThalaSwap,ThalaSwap,-51.27,276.45,150.84
Thena V1,Thena V1,33.45,53.65,-49.98
THENA FUSION,THENA FUSION,29.19,28.26,-23.99
THORSwap,THORSwap,-40.73,9.05,-40.14
Tinyman,Tinyman,-1.19,-37.8,-62.73
Titano Swych,Titano Swych,47.33,-57.85,-70.38
Tokenlon,Tokenlon,76.34,59.56,143.4
Tomb Swap,Tomb Swap,-16.93,-17.47,44.65
Trader Joe DEX,Trader Joe DEX,-53.49,-6.15,-11.26
Joe V2,Joe V2,-13.76,-34,-65.77
