date,dex_volume
2020-12-02,333024120.3951321
2020-12-03,347773571.1660312
2020-12-04,296119565.4992417
2020-12-05,414812832.2891982
2020-12-06,338324336.74685556
2020-12-07,425419042.802506
2020-12-08,391522150.18028766
2020-12-09,342230799.7087493
2020-12-10,335759709.02588457
2020-12-11,265790384.7302402
2020-12-12,265254348.73495156
2020-12-13,286001064.7563987
2020-12-14,322975726.80557203
2020-12-15,347559444.8202721
2020-12-16,979942176.2449852
2020-12-17,362495619.3566681
2020-12-18,382438840.58624464
2020-12-19,371077176.74079835
2020-12-20,471238586.6416425
2020-12-21,430386138.4518206
2020-12-22,452762174.977142
2020-12-23,399185752.0281825
2020-12-24,386557937.3513987
2020-12-25,371084999.9662659
2020-12-26,527711851.6729377
2020-12-27,487608510.8664149
2020-12-28,592309006.6604457
2020-12-29,577091794.8250921
2020-12-30,581536912.6172512
2020-12-31,531707313.602784
2021-01-01,600040081.9891795
2021-01-02,838000623.7782793
2021-01-03,1049825428.6862415
2021-01-04,846444434.6930442
2021-01-05,816691516.8827194
2021-01-06,822027075.3538637
2021-01-07,886147140.4781624
2021-01-08,842098405.9971718
2021-01-09,862682682.4979696
2021-01-10,1341782981.9907527
2021-01-11,751258910.7211422
2021-01-12,618284633.908214
2021-01-13,694664857.2831974
2021-01-14,816288416.4067439
2021-01-15,766172378.992651
2021-01-16,722128998.7835149
2021-01-17,771690721.4282119
2021-01-18,1083761372.2463772
2021-01-19,829888136.3289815
2021-01-20,979692690.5708597
2021-01-21,928839445.0557272
2021-01-22,765089756.2984381
2021-01-23,863519375.5559645
2021-01-24,1001146776.6282101
2021-01-25,877672590.4286675
2021-01-26,897169559.3615433
2021-01-27,788029097.4143732
2021-01-28,1126469403.837763
2021-01-29,824540113.7977164
2021-01-30,815650230.7646439
2021-01-31,936952456.888831
2021-02-01,1013915074.6534077
2021-02-02,967175385.9939545
2021-02-03,1380410749.2375658
2021-02-04,1220770936.9215324
2021-02-05,1076171901.8705943
2021-02-06,1002292435.772771
2021-02-07,1171327053.492037
2021-02-08,1136957207.0902884
2021-02-09,1148179619.6173308
2021-02-10,988153643.1063646
2021-02-11,1109332005.9418795
2021-02-12,1106507183.4562168
2021-02-13,1084353502.4739811
2021-02-14,1262777485.3170524
2021-02-15,1086295769.2659624
2021-02-16,1190818020.4097316
2021-02-17,1221357403.7814074
2021-02-18,1114317555.1637652
2021-02-19,1359861293.2588327
2021-02-20,1062836509.642242
2021-02-21,1548538778.6637301
2021-02-22,1815768267.807174
2021-02-23,1195671056.8952851
2021-02-24,1076284164.6797035
2021-02-25,1093882290.365878
2021-02-26,838211292.688817
2021-02-27,1058264771.2921637
2021-02-28,922032199.9222074
2021-03-01,904851198.1250983
2021-03-02,929329583.440089
2021-03-03,919284546.0705962
2021-03-04,1054684470.808418
2021-03-05,853594775.5199448
2021-03-06,1191011603.810218
2021-03-07,1205387620.6237955
2021-03-08,1205207650.6377234
2021-03-09,1048473566.7008629
2021-03-10,1051611051.024132
2021-03-11,1172496762.8955574
2021-03-12,1114008835.2375703
2021-03-13,1115080984.887987
2021-03-14,1154954123.0620813
2021-03-15,1062161571.7581538
2021-03-16,1055578226.7711663
2021-03-17,955338298.6536365
2021-03-18,1076661306.3690343
2021-03-19,1001375056.7327919
2021-03-20,884099370.4192966
2021-03-21,1396448158.157226
2021-03-22,1124740970.3320827
2021-03-23,1323455966.693402
2021-03-24,1111420973.3231344
2021-03-25,998080148.7580796
2021-03-26,1028782831.7193823
2021-03-27,1674519442.0779111
2021-03-28,1674434501.3310242
2021-03-29,1674472535.3425832
2021-03-30,1674754519.0639977
2021-03-31,2478928878.003837
2021-04-01,2488223326.3798137
2021-04-02,1234493518.149173
2021-04-03,1103486845.9700189
2021-04-04,1264925250.970818
2021-04-05,1299908422.5128176
2021-04-06,1530642822.684454
2021-04-07,1170429316.3064337
2021-04-08,1037469442.0850903
2021-04-09,1097413980.254305
2021-04-10,1011841963.5708225
2021-04-11,1127339702.587261
2021-04-12,1187290949.7850308
2021-04-13,1382811001.671869
2021-04-14,1229431671.2785661
2021-04-15,1438833394.6294503
2021-04-16,1454073312.330586
2021-04-17,1710027591.6257925
2021-04-18,1422078661.0666337
2021-04-19,1821380848.3347363
2021-04-20,1536110441.1063921
2021-04-21,1926734224.9979885
2021-04-22,1884950730.8201616
2021-04-23,1011539442.106676
2021-04-24,978300677.3724357
2021-04-25,1255066110.862052
2021-04-26,1253623695.2225325
2021-04-27,1340453919.6791096
2021-04-28,1225760608.6257434
2021-04-29,1209626205.2397242
2021-04-30,1249649466.5121987
2021-05-01,1735215493.8214965
2021-05-02,1831494638.8508935
2021-05-03,2071526452.3082607
2021-05-04,1617436045.6723788
2021-05-05,1351998698.518788
2021-05-06,1525440815.277883
2021-05-07,3321717626.7156477
2021-05-08,2648440032.67457
2021-05-09,3899868105.6112895
2021-05-10,3031855558.8801136
2021-05-11,4243530958.3675795
2021-05-12,3763506770.808212
2021-05-13,2617253283.6214
2021-05-14,2475598795.6704803
2021-05-15,2918597772.049529
2021-05-16,3209866201.625536
2021-05-17,2586086759.9839516
2021-05-18,6212778331.751223
2021-05-19,3706146758.1514273
2021-05-20,3390049712.991675
2021-05-21,2343583793.0926113
2021-05-22,3842433794.12185
2021-05-23,3036605215.930437
2021-05-24,2685030522.279319
2021-05-25,2689361183.9672995
2021-05-26,1992694604.822126
2021-05-27,2438603480.1890965
2021-05-28,2218202609.0849104
2021-05-29,1823285712.3383048
2021-05-30,1767426424.6774364
2021-05-31,1791854252.5919442
2021-06-01,1385243673.22462
2021-06-02,1587029021.602763
2021-06-03,1884539252.4404469
2021-06-04,1316182074.6453173
2021-06-05,829367436.667947
2021-06-06,1458576465.8810248
2021-06-07,2041336243.8829231
2021-06-08,1824665885.049024
2021-06-09,1429816315.4244406
2021-06-10,1449333136.2189999
2021-06-11,1316090315.0107841
2021-06-12,1218521002.843228
2021-06-13,1273682635.6396854
2021-06-14,1261002987.5548372
2021-06-15,1214120979.6295545
2021-06-16,1277821745.0913563
2021-06-17,1420468622.1430852
2021-06-18,1035058016.7262508
2021-06-19,1241933821.9944682
2021-06-20,2366546721.2847185
2021-06-21,2071212693.1624494
2021-06-22,1403109818.9047663
2021-06-23,1132591307.7973661
2021-06-24,1339120385.9111085
2021-06-25,1211181664.9819715
2021-06-26,1132623670.0137901
2021-06-27,2224851641.5354557
2021-06-28,1301742461.322915
2021-06-29,1407046536.8338182
2021-06-30,2472598109.8146954
2021-07-01,1282367586.2764812
2021-07-02,964843459.0195854
2021-07-03,1402825319.0733197
2021-07-04,1169739771.7330241
2021-07-05,1413938638.1594753
2021-07-06,1075845764.2656822
2021-07-07,1307979711.0768533
2021-07-08,1380867891.974046
2021-07-09,1008774435.9498992
2021-07-10,632762692.36345
2021-07-11,838404905.8842112
2021-07-12,1137642963.7927325
2021-07-13,1327069393.4474652
2021-07-14,1374798237.301184
2021-07-15,1012283944.301176
2021-07-16,854284122.5294495
2021-07-17,1139243884.9000835
2021-07-18,858825609.9648043
2021-07-19,1383591974.1521428
2021-07-20,1508947698.7885582
2021-07-21,1143104636.6922896
2021-07-22,999948936.7570443
2021-07-23,1011511256.0064442
2021-07-24,924280038.6777111
2021-07-25,2830934729.8607836
2021-07-26,1587795652.2715125
2021-07-27,1539674974.0306747
2021-07-28,1135593022.5555453
2021-07-29,1490659819.1581225
2021-07-30,1081468479.658771
2021-07-31,1451501078.0359812
2021-08-01,1413312428.895415
2021-08-02,1693908108.9983213
2021-08-03,1882807548.9658337
2021-08-04,2065621915.710071
2021-08-05,1679556720.367502
2021-08-06,2220203422.825568
2021-08-07,2297248825.1590858
2021-08-08,2611003532.131163
2021-08-09,1810992023.5558932
2021-08-10,1640421849.0445516
2021-08-11,1862594005.1534178
2021-08-12,1421020389.3543997
2021-08-13,1130270030.00354
2021-08-14,1375802662.3409905
2021-08-15,1728680687.9866362
2021-08-16,2466787624.3049493
2021-08-17,2173807688.708686
2021-08-18,1745607610.084282
2021-08-19,1687723903.7303987
2021-08-20,1245467334.8805425
2021-08-21,1373732575.6823094
2021-08-22,1760308614.2548182
2021-08-23,2495072079.5692725
2021-08-24,1736300826.0219932
2021-08-25,1742380491.0843077
2021-08-26,1442844751.509574
2021-08-27,939039617.6341753
2021-08-28,1359593125.2331219
2021-08-29,1895658619.6941485
2021-08-30,2122542700.5388074
2021-08-31,2273729964.170482
2021-09-01,1804886386.928216
2021-09-02,2052068784.462882
2021-09-03,1589514037.6820865
2021-09-04,1508326072.2222042
2021-09-05,1687861323.9739418
2021-09-06,3285572425.2800727
2021-09-07,2661149838.1034203
2021-09-08,1847437063.724904
2021-09-09,2040062481.8948426
2021-09-10,1425514036.3408852
2021-09-11,1309712683.9538777
2021-09-12,1801608780.8050768
2021-09-13,1313989511.2023153
2021-09-14,1404458282.1319356
2021-09-15,1749686397.1607292
2021-09-16,1518444603.3582234
2021-09-17,1139518060.9552941
2021-09-18,1206083066.6998112
2021-09-19,2860953647.408824
2021-09-20,2814032211.461274
2021-09-21,1836257928.3034427
2021-09-22,1413713381.5908377
2021-09-23,1974074839.0306954
2021-09-24,1457287488.2934685
2021-09-25,2043124762.4480817
2021-09-26,1600703861.1062002
2021-09-27,1514038593.4504411
2021-09-28,1339885733.8145065
2021-09-29,1554470924.7544107
2021-09-30,1685154952.6982665
2021-10-01,1272412590.0740285
2021-10-02,1240649323.1122227
2021-10-03,1596570429.2104838
2021-10-04,1450688774.3132787
2021-10-05,1992845030.6459095
2021-10-06,1969402978.5138655
2021-10-07,1479606132.5368934
2021-10-08,1054211526.7274396
2021-10-09,1497728674.8772197
2021-10-10,1961163842.0760915
2021-10-11,1977778733.2224445
2021-10-12,1807763484.3028855
2021-10-13,1959523522.4694772
2021-10-14,2575867962.1593056
2021-10-15,1833374318.405843
2021-10-16,1692650590.681077
2021-10-17,1876773547.6061814
2021-10-18,2055484909.1249576
2021-10-19,2161142273.9115148
2021-10-20,3270485864.195978
2021-10-21,2238080659.4884567
2021-10-22,1759311523.986345
2021-10-23,1768253171.3406832
2021-10-24,1968199626.7307553
2021-10-25,2595600905.360185
2021-10-26,3465306222.773617
2021-10-27,3225014163.3515983
2021-10-28,2748941506.5906496
2021-10-29,2388266934.8036013
2021-10-30,2281094698.347598
2021-10-31,2227334100.6993227
2021-11-01,2750100361.6856203
2021-11-02,2789493526.7457075
2021-11-03,2527565662.998575
2021-11-04,2125345440.1530871
2021-11-05,1916370547.2177043
2021-11-06,1852926720.264165
2021-11-07,2559897394.6550527
2021-11-08,2578542643.1140294
2021-11-09,4209500943.90791
2021-11-10,3200396873.6372223
2021-11-11,3255293405.998533
2021-11-12,2030724221.7602835
2021-11-13,2212532041.0434494
2021-11-14,2510253005.342521
2021-11-15,4018257712.557173
2021-11-16,3077129620.909358
2021-11-17,3904896274.967387
2021-11-18,2782428789.4029517
2021-11-19,2159446101.765529
2021-11-20,2315267019.7562814
2021-11-21,3344453065.004193
2021-11-22,3070144370.3651204
2021-11-23,3190930239.355681
2021-11-24,3045364924.144114
2021-11-25,4855650514.894815
2021-11-26,2481510512.5273886
2021-11-27,2778931317.3081512
2021-11-28,2684116289.845113
2021-11-29,4181836610.0632534
2021-11-30,3211866455.367462
2021-12-01,3321425693.596901
2021-12-02,3946983372.18392
2021-12-03,5844454554.020733
2021-12-04,3572768355.4119816
2021-12-05,4733437254.441873
2021-12-06,2673891065.283506
2021-12-07,2715790519.1948633
2021-12-08,3708847892.0316753
2021-12-09,4141583441.1745067
2021-12-10,2708145637.1150756
2021-12-11,1816951901.1650872
2021-12-12,3176790921.3041916
2021-12-13,2567312402.4095006
2021-12-14,3857812356.675162
2021-12-15,2421488697.5323887
2021-12-16,3162125590.9091883
2021-12-17,2311996736.6919074
2021-12-18,2131115743.810933
2021-12-19,2631209934.9561033
2021-12-20,2116084366.8661423
2021-12-21,1863524405.808004
2021-12-22,2277843291.1435995
2021-12-23,1844169827.3191
2021-12-24,1885128757.7049177
2021-12-25,1632066799.9522521
2021-12-26,1635581406.4131703
2021-12-27,2755844255.5773845
2021-12-28,2022482069.2539806
2021-12-29,1809175859.5736833
2021-12-30,1937620154.3161254
2021-12-31,1493533152.1420815
2022-01-01,1457259331.0170493
2022-01-02,1775824915.0359886
2022-01-03,2109681956.5059032
2022-01-04,2941001399.9465
2022-01-05,2568857974.9176354
2022-01-06,3177810336.6735144
2022-01-07,2515572014.006612
2022-01-08,1514676120.7467484
2022-01-09,3071980133.833146
2022-01-10,2152981152.3648624
2022-01-11,2176124538.3802247
2022-01-12,2388496985.3451467
2022-01-13,1913114398.4958282
2022-01-14,1405512748.9322102
2022-01-15,1471116003.1650486
2022-01-16,2140744711.1431992
2022-01-17,2207473743.3437433
2022-01-18,2195724350.3329697
2022-01-19,2510741326.5999136
2022-01-20,5569882121.221415
2022-01-21,3988131340.7741413
2022-01-22,2779293944.1811104
2022-01-23,4050826243.23527
2022-01-24,2131971347.7822335
2022-01-25,3272763863.1826344
2022-01-26,2583213687.012415
2022-01-27,2692852784.24114
2022-01-28,1704586340.275346
2022-01-29,1408199650.747591
2022-01-30,1788819059.9023056
2022-01-31,2032836179.9856992
2022-02-01,1933509367.6951098
2022-02-02,1774425988.8178813
2022-02-03,2041163488.7515717
2022-02-04,1778796596.0030704
2022-02-05,1453742307.7578712
2022-02-06,2028184581.552524
2022-02-07,2026872405.0753677
2022-02-08,1852356131.2596488
2022-02-09,2654210322.810747
2022-02-10,2701106116.753915
2022-02-11,1734746534.444508
2022-02-12,1181305076.704836
2022-02-13,1588795286.1305242
2022-02-14,1979376272.2905302
2022-02-15,2046505822.573959
2022-02-16,2434461687.8772907
2022-02-17,2002402400.9491282
2022-02-18,1212327655.371474
2022-02-19,1944145925.5913877
2022-02-20,2706639016.3486447
2022-02-21,2100993716.9103107
2022-02-22,1776343638.9936056
2022-02-23,4158285038.4980845
2022-02-24,2541488785.6070685
2022-02-25,1485577173.371656
2022-02-26,2243703531.033832
2022-02-27,2376067354.4769955
2022-02-28,2390037761.9828563
2022-03-01,2408989423.098423
2022-03-02,1647564075.0198886
2022-03-03,2242976107.2648926
2022-03-04,1081365810.2002218
2022-03-05,1294485588.600214
2022-03-06,1913910490.7729185
2022-03-07,1928931084.7784283
2022-03-08,1753740218.3294594
2022-03-09,1612874600.6046326
2022-03-10,1639502169.7790217
2022-03-11,863349905.971087
2022-03-12,1201599856.3354325
2022-03-13,1401597592.8088675
2022-03-14,1459045440.5326424
2022-03-15,2193052510.7984076
2022-03-16,1882336448.5576272
2022-03-17,2407040764.711479
2022-03-18,1466587170.4385266
2022-03-19,1470642611.1863585
2022-03-20,1532582123.2045684
2022-03-21,1856501444.9672759
2022-03-22,1593911449.7652476
2022-03-23,2253369415.552048
2022-03-24,2008587928.499962
2022-03-25,1056263787.0954194
2022-03-26,1415619847.2004619
2022-03-27,2211711110.076178
2022-03-28,2227832688.3956537
2022-03-29,1932903500.7100966
2022-03-30,2110345208.5951016
