date,Goldfinch,Centrifuge,Credix
2021-03-22,,1393716.49554,
2021-03-23,,1518461.28767,
2021-03-24,,1406601.23711,
2021-03-25,,1465371.49772,
2021-03-26,,1472303.46863,
2021-03-27,,1483272.16099,
2021-03-28,,1880914.55543,
2021-03-29,,1883429.31764,
2021-03-30,,2057992.82421,
2021-03-31,,2072491.00116,
2021-04-01,,2404274.96433,
2021-04-02,,2583736.44047,
2021-04-03,,2133401.91902,
2021-04-04,,2244599.03462,
2021-04-05,,1956097.2917,
2021-04-06,,2281880.75044,
2021-04-07,,2136938.62672,
2021-04-08,,2262439.22781,
2021-04-09,,2417145.93996,
2021-04-10,,2439195.98663,
2021-04-11,,2733090.94493,
2021-04-12,,2696284.81974,
2021-04-13,,2660022.75265,
2021-04-14,,2714290.70009,
2021-04-15,,2879246.26012,
2021-04-16,,3391268.89097,
2021-04-17,,2207543.29711,
2021-04-18,,3058732.24233,
2021-04-19,,3184084.32592,
2021-04-20,,3202891.91744,
2021-04-21,,2635697.62435,
2021-04-22,,2424585.69928,
2021-04-23,,2040631.41021,
2021-04-24,,2043068.92227,
2021-04-25,,2050702.50483,
2021-04-26,,2250879.91142,
2021-04-27,,2255430.02042,
2021-04-28,,2337986.13725,
2021-04-29,,2502536.68758,
2021-04-30,,2194020.44635,
2021-05-01,,2418877.66824,
2021-05-02,,2424108.87512,
2021-05-03,,2494297.30685,
2021-05-04,,2329918.93125,
2021-05-05,,2186648.46907,
2021-05-06,,2183958.34417,
2021-05-07,,2230737.26427,
2021-05-08,,2367589.41627,
2021-05-09,,2376211.80863,
2021-05-10,,2473421.96203,
2021-05-11,,1944574.58873,
2021-05-12,,1929560.63543,
2021-05-13,,2426590.36101,
2021-05-14,,2788956.38467,
2021-05-15,,2839745.47258,
2021-05-16,,3393692.57178,
2021-05-17,,4009831.94791,
2021-05-18,,3853790.13775,
2021-05-19,,4094626.26303,
2021-05-20,,4017769.47249,
2021-05-21,,3790573.1316,
2021-05-22,,3796399.57682,
2021-05-23,,3737541.66193,
2021-05-24,,3693684.76514,
2021-05-25,,3698929.91726,
2021-05-26,,3707875.42314,
2021-05-27,,3479451.60518,
2021-05-28,,3403914.85451,
2021-05-29,,3400669.46645,
2021-05-30,,3424552.27183,
2021-05-31,,3422101.19351,
2021-06-01,,3388607.12908,
2021-06-02,,3397814.36675,
2021-06-03,,3340960.17486,
2021-06-04,,3314631.02477,
2021-06-05,,3442213.29447,
2021-06-06,,3554691.0136,
2021-06-07,,3559609.28522,
2021-06-08,,3567273.80999,
2021-06-09,,3485759.7212,
2021-06-10,,3466144.27523,
2021-06-11,,3468629.07707,
2021-06-12,,4293281.42647,
2021-06-13,,4323825.82958,
2021-06-14,,4322053.1681,
2021-06-15,,4387961.44869,
2021-06-16,,4355564.46944,
2021-06-17,,3730810.69238,
2021-06-18,,3862644.38403,
2021-06-19,,3242388.96087,
2021-06-20,,3381107.47341,
2021-06-21,,3399054.11615,
2021-06-22,,3334446.74961,
2021-06-23,,3198863.93613,
2021-06-24,,4250295.09302,
2021-06-25,,4219868.1764,
2021-06-26,,3194215.21911,
2021-06-27,,3243479.92293,
2021-06-28,,3197464.40704,
2021-06-29,,2713679.73451,
2021-06-30,,2713171.39412,
2021-07-01,,2957178.99297,
2021-07-02,,2946042.8574,
2021-07-03,,2742299.98418,
2021-07-04,,2535741.07196,
2021-07-05,,2539299.05533,
2021-07-06,,2604241.9531,
2021-07-07,,2462271.64644,
2021-07-08,,2393553.31566,
2021-07-09,,2522075.50469,
2021-07-10,,2329314.84036,
2021-07-11,,2323748.63542,
2021-07-12,,2281197.99351,
2021-07-13,,2280543.83811,
2021-07-14,,2468548.72525,
2021-07-15,,2373241.19202,
2021-07-16,,2738722.2382,
2021-07-17,,2417914.71371,
2021-07-18,,2473126.97395,
2021-07-19,,2497029.62762,
2021-07-20,,2107603.66534,
2021-07-21,,2089924.04498,
2021-07-22,,1858042.53121,
2021-07-23,,1798624.46136,
2021-07-24,,1830389.62199,
2021-07-25,,1829630.48327,
2021-07-26,,1816350.41306,
2021-07-27,,1854131.01684,
2021-07-28,,1829545.38103,
2021-07-29,,1808009.80035,
2021-07-30,,1677236.06683,
2021-07-31,,1775593.00788,
2021-08-01,,1772971.07959,
2021-08-02,,1779864.5298,
2021-08-03,,1784739.60514,
2021-08-04,,1699818.59728,
2021-08-05,,1836062.87177,
2021-08-06,,1682466.15599,
2021-08-07,,1747697.88667,
2021-08-08,,1758760.5102,
2021-08-09,,1800473.49773,
2021-08-10,,1894244.61795,
2021-08-11,,1785140.51686,
2021-08-12,,1784566.59399,
2021-08-13,,1802767.13896,
2021-08-14,,1845821.10692,
2021-08-15,,1915882.76486,
2021-08-16,,1899358.5219,
2021-08-17,,1834164.89648,
2021-08-18,,1839084.71424,
