Date,TVL
2018-09-04,27765.046948662064
2018-09-05,25816.19588583886
2018-09-06,25522.957379019637
2018-09-07,25191.596102605756
2018-09-08,24625.501814032636
2018-09-09,24426.598972570602
2018-09-10,24360.383771949295
2018-09-11,23094.70466976807
2018-09-12,23100.973797721235
2018-09-13,24978.54631706632
2018-09-14,24237.9678738588
2018-09-15,26320.537181289183
2018-09-16,26781.665479857544
2018-09-17,25640.722597257198
2018-09-18,25650.889737563546
2018-09-19,26215.886577459998
2018-09-20,28853.839737941245
2018-09-21,29560.852852122232
2018-09-22,26676.49925398224
2018-09-23,29532.368286678626
2018-09-24,28804.660047552832
2018-09-25,28046.647498192357
2018-09-26,27987.84472872885
2018-09-27,28692.100216943174
2018-09-28,28701.896585606137
2018-09-29,26446.280275420824
2018-09-30,26431.19888379287
2018-10-01,28767.921220147473
2018-10-02,29373.80575268599
2018-10-03,27910.240602249116
2018-10-04,192011.3468354197
2018-10-05,191132.73980070112
2018-10-06,191606.1941822457
2018-10-07,191891.2049278692
2018-10-08,191741.09133431272
2018-10-09,191300.18098254158
2018-10-10,191165.88153907246
2018-10-11,191243.746650817
2018-10-12,191893.5501961422
2018-10-13,192234.2711209895
2018-10-14,193699.6557809756
2018-10-15,196496.65792061255
2018-10-16,196422.23529542793
2018-10-17,196243.9438896906
2018-10-18,193463.42931662357
2018-10-19,193242.8179999342
2018-10-20,196383.08476235735
2018-10-21,195202.8427163304
2018-10-22,193146.38998154693
2018-10-23,191869.7811823319
2018-10-24,191956.82842706266
2018-10-25,191823.82491070667
2018-10-26,192784.0734852431
2018-10-27,190767.79863734814
2018-10-28,191645.77405821366
2018-10-29,189336.7857783601
2018-10-30,192432.54063771464
2018-10-31,191890.36581350956
2018-11-01,193695.31157079697
2018-11-02,230042.54205488026
2018-11-03,235512.7419535648
2018-11-04,231682.05277632107
2018-11-05,236624.05188633763
2018-11-06,348748.69164733187
2018-11-07,376570.7766702631
2018-11-08,370811.2027340339
2018-11-09,368540.843569475
2018-11-10,383537.4205591802
2018-11-11,397505.8082887307
2018-11-12,398854.4515573922
2018-11-13,395190.0976656794
2018-11-14,396812.4457532774
2018-11-15,396350.59461720963
2018-11-16,398586.8692252693
2018-11-17,394827.39607234544
2018-11-18,395600.31663159677
2018-11-19,395080.39656955644
2018-11-20,366442.3748511342
2018-11-21,377009.75731571845
2018-11-22,379229.533315422
2018-11-23,365788.02635784843
2018-11-24,350354.8034414272
2018-11-25,352978.0974651417
2018-11-26,363948.58931643283
2018-11-27,363574.14375073917
2018-11-28,392611.2344716826
2018-11-29,391172.37746706
2018-11-30,384045.6231692784
2018-12-01,396904.7664910516
2018-12-02,397528.28549483034
2018-12-03,400697.3274160529
2018-12-04,411047.30580598896
2018-12-05,393086.1382864058
2018-12-06,381186.4371765142
2018-12-07,388267.1669866395
2018-12-08,453639.38739515445
2018-12-09,483875.8902982307
2018-12-10,484440.1481666097
2018-12-11,477721.1230546904
2018-12-12,490197.12968214176
2018-12-13,489226.47310394514
2018-12-14,472788.6657617255
2018-12-15,466258.5023237708
2018-12-16,492697.11322703294
2018-12-17,541452.5826628448
2018-12-18,570275.2206488741
2018-12-19,564240.9910792329
2018-12-20,608320.9063259796
2018-12-21,595674.4790461573
2018-12-22,625302.5778103569
2018-12-23,663684.0574186043
2018-12-24,693583.2799479411
2018-12-25,659492.1007168518
2018-12-26,657956.83931699
2018-12-27,615970.5082979351
2018-12-28,644828.2230176635
2018-12-29,682473.6705244342
2018-12-30,682783.2526887585
