date,1AAVE,1DAI,1ETH,1INCH,1USDC,1USDT,1WBTC,AAVE,AAVE.E,AGEUR,AMPL,ARB,AVAX,BAL,BAT,BTC,BTC.B,BUSD,CBETH,CRV,CVX,DAI,DAI.E,DPI,ENJ,ENS,ETH,EURS,FEI,FRAX,FTM,FUSDT,G-UNI,GHO,GHST,GUSD,JEUR,KNC,KNCL,LDO,LEND,LINK,LINK.E,LUSD,M.DAI,M.USDC,M.USDT,MAI,MANA,MATICX,METIS,MIMATIC,MKR,OP,RAI,REN,RENFIL,RETH,RPL,SAVAX,SETH,SNX,STETH,STMATIC,SUSD,SUSHI,TUSD,UNI,UNKNOWN (0x1985365e9f78359a9B6AD760e32412f4a445E862),USDC,USDC.E,USDP,USDT,USDT.E,UST,WAVAX,WBTC,WBTC.E,WETH,WETH.E,WFTM,WMATIC,WONE,WSTETH,XSUSHI,YFI,ZRX
2023-05-31,,,,10174449.98931,,,,1726412.1034499998,8415.31877,244604.86055,13004.59828,,,393913.32662,2418678.29123,,2688.85769,1649237.78963,33259.00822,238330511.20056,95724.75202,86076051.92305,4400697.36213,3666.7912,6509285.75799,1093713.38399,97.28508,754419.87,5047.1756,1031319.4333,,,0.45907,,4123462.45738,409818.83,39294.80662,153349.76897,,1899.69525,137585.09721,13823864.185510002,234469.56736,1506286.67566,,137631.35863,14599.52085,3865.51321,3935873.1894099996,28841508.5482,7279.7086,132325.07841,19046.92991,236260.53725,65502.65781,3883114.05494,,26433.27859,,1783695.118,0.01251,2740734.7833499997,952010.43158,29690599.99862,2692294.85954,109551.39936,11750050.72002,2250933.32089,,208484624.80734998,1942780.02852,738192.76794,196951881.76393002,892928.96039,6522845.72121,1316633.51299,31879.053079999998,1529.6375,389698.81446,22904.440990000003,269055.7961,52288744.48568,,269679.13803,2772315.50326,447.49576,47897661.66087
2023-06-01,,,,10174449.98931,,,,1726372.46811,8408.06647,248104.862,13004.59828,,,396220.33984,2418678.29123,,2701.96126,1649574.43919,32271.68309,238018424.486,95724.75202,83609154.28163001,4424987.12669,3666.78994,6509285.75799,1093713.38399,97.28508,753740.06,5047.1756,1031319.3232999999,,,0.45907,,4210616.11368,409818.83,39294.80662,152782.81218,,1899.71899,137585.09721,13551127.320570001,234678.44762,1700425.86039,,137606.35783,14574.44126,3913.21455,3935873.1894099996,28837288.43772,7279.7086,132911.68116,18988.30255,237133.0962,65502.65781,3883114.05494,,26954.5689,,1783774.79909,0.01251,3060539.99253,998841.61362,29941253.65016,2715865.27934,108616.14434999999,11452869.791070001,2249933.49295,,226576524.74915,1749151.53998,738192.76794,195074445.94239,1120862.78342,6522845.72121,1302507.14679,31888.021090000002,1525.70128,354649.05843000003,23235.62403,269055.88419,51488723.96464,,274056.21733,2620937.57371,447.51081,47897661.66087
2023-06-02,,,,10199556.56606,,,,1726317.2017299999,8411.78595,248089.69754,13004.59828,,,426561.89515,2418678.29123,,2702.68794,1590058.33193,31626.57975,238055053.0187,95724.75202,76059430.88754,4361860.81573,3721.95379,6509285.75799,1093638.15907,97.28508,754059.36,5047.1756,1030790.96609,,,0.45907,,4202727.81007,412028.68,39294.80662,152782.81218,,1899.71899,137585.09721,13597894.68709,234785.511,1553236.06731,,137606.35783,7652.66617,4665.45511,3935873.1894099996,28817567.94717,7249.7086,132213.90958,19005.90941,236173.29694,65502.65781,3883235.3156600003,,28555.08026,,1784540.15389,0.01251,3064967.8282299996,997962.40177,28517543.57417,2416928.2619000003,108753.86804999999,11382218.524980001,2247910.0579399997,,211791699.3745,2085116.40978,708092.76794,199728931.53085,1102851.1138,6522845.72121,1302234.4975,31994.383499999996,1531.94263,358371.93405,23400.51037,269055.9876,51537376.91364,,284170.59925,2620937.57371,447.48953,47897652.66087
2023-06-03,,,,10199556.56606,,,,1731615.32586,8411.69457,248089.75756,13004.59828,,,427886.47474000003,2418678.29123,,2704.40253,1590058.33193,31674.63918,237801712.69363,95724.75202,74932374.44286,4358957.73159,3721.95379,6509285.75799,1093638.15907,97.28508,750566.13,5047.1756,1031246.27007,,,0.45907,,4199084.77442,412028.68,39294.80662,152581.09947999998,,1899.71899,137585.09721,13612546.07289,234811.54024,1696880.0119999999,,137606.35783,7653.23425,11430.21661,3935873.1894099996,28817815.85508,7279.70883,130541.24266,18990.51771,239083.63548,65502.65781,3883235.3156600003,,27678.90932,,1784527.60682,0.01251,3064427.11289,995976.1564,28502399.15435,2350757.04166,109782.59021,11083473.400120001,2247909.74743,,216600285.71543998,2213212.58202,708092.76794,201319440.68036,832386.99103,6522845.72121,1307494.04083,32459.80425,1439.68874,356367.92337000003,23422.53407,269056.14528,51150215.76206,,285030.04937,2620937.57371,447.51042,47897652.66087
2023-06-04,,,,10199560.80703,,,,1731001.7042,8372.97223,248313.20847,12934.24438,,,428309.99009,2418678.29123,,2712.84732,1590058.33193,31674.63918,237843082.17360002,95724.75202,74377698.9842,4247898.20119,3723.74212,6509285.75799,1093511.18923,97.28508,752603.38,5047.1756,1031245.89331,,,0.45907,,4200686.96409,412028.68,39294.80662,152581.09947999998,,1900.11899,137598.98071,13641607.09874,233950.91339,1639351.0119999999,,116588.35783,14114.72487,11329.17335,3935873.1894099996,28816482.92639,7279.70883,130265.84058,18970.5086,238144.17904,65502.65781,3883235.3156600003,,27741.34838,,1786482.06464,0.01251,3063694.65515,993289.6909,28630489.97734,2416370.93135,109647.32777999999,10997274.84094,2260958.1891,,217250476.61954,2126799.63419,708092.76794,203287549.80031002,852032.83237,6522845.72121,1210369.2931300001,32034.900849999998,1439.05054,360242.69996,23400.64903,269056.14528,50893368.389960006,,286856.89173,2620937.57371,447.49761,47897652.66087
2023-06-05,,,,10199560.80703,,,,1651271.36092,8383.698540000001,248222.4225,12934.24438,,,432023.95677,2418678.29123,,2717.65641,1590521.9691100002,31368.00163,237840776.05271,95724.75202,72247488.11813,4354624.16419,3723.57142,6509285.75799,1092945.76943,97.28508,778592.63,5047.1756,1028006.0233,,,0.45907,,3843676.5393999997,411228.8,39294.80662,152581.09947999998,,1900.56899,137598.98071,13702381.914329998,235729.83931,1681010.5287199998,,116588.35783,15615.17017,6387.27194,3935873.1894099996,28967319.37955,7279.70883,140060.76973,18970.52332,239845.6248,67257.07048,3883235.3156600003,,27744.10033,,1786412.70064,0.01251,3063948.5339099998,988836.70744,29870586.78357,2818295.20231,111529.35304,10411829.927210001,2260958.99249,,215820858.66276997,2139007.85886,708092.76794,225872184.24495,930807.44712,6522845.72121,1295969.77839,32039.05738,1437.46688,362046.03496,23589.69227,269038.65098,52785357.50446,,288469.76475,2618696.03382,447.60110000000003,47897652.66087
2023-06-06,,,,10199560.80703,,,,1650502.8199,8381.4758,248178.95766,12864.27108,,,428659.90584,2418678.29123,,2736.84559,1590521.9691100002,28055.79058,237792520.68036,95724.75202,76940115.32653001,4354517.43001,3710.7868099999996,6509285.75799,1104939.49944,97.28508,778876.23,5047.1756,1028078.63177,,,0.45907,,4181416.08174,411228.8,39293.83292,152581.09947999998,,1900.56899,137598.98071,13815346.54409,234812.67988,1643037.91607,,134441.94045,14595.88747,6371.77194,3935873.1894099996,28960565.21111,6729.71363,140354.44372,18967.07712,242440.11618,67257.07048,3883235.3156600003,,27845.53315,,1839587.7667,0.01251,3049281.8130599996,990480.81886,31990698.7292,2659347.6687000003,111438.21608,11048083.73153,2260957.7328500003,,229408873.10316,2191557.18295,708092.76794,164309804.45926,958305.89237,6522845.72121,1210334.30373,32211.29397,1434.36588,394514.96221,23603.62176,269038.8308,45622122.955690004,,287893.23693,2618696.03382,447.60272000000003,47891914.85909
2023-06-07,,,,10198104.29721,,,,1650968.72172,8373.47573,248179.48414,12753.08874,,,446167.41259,2418678.29093,,2731.95525,1728959.95592,27559.14107,237494792.64701998,95707.00971,76525132.55907,4358434.43786,3710.7868099999996,6509285.75799,1104939.49944,97.28508,781422.96,5047.1756,1053191.17555,,,0.45907,,4081919.6959599997,411228.8,38986.04292,152581.09947999998,,1823.90538,137598.98071,13826580.56087,234730.29541,1645268.50251,,115393.5908,14019.67644,6789.696,3935873.1894099996,29014350.32414,7329.73264,138543.18985,19032.067779999998,242056.45034,67257.07048,3883235.3156600003,,27844.5357,,1842881.74038,0.01251,2758289.67078,984984.99575,31997449.824,2514292.50849,111461.4882,7169490.518870001,2260928.44548,,213847237.56408,2189751.21978,708092.76794,175190509.45859,973915.09222,6522845.72121,1215281.30505,32149.357469999995,1431.66118,411923.08972,23649.09237,267995.32839,40829230.73804,,288636.98638,2618696.03382,447.62328,47891914.85909
2023-06-08,,,,10198104.29721,,,,1651010.5599399998,8377.35999,248419.66798,12642.86733,,,439542.13074,2418678.29093,,2696.63976,1728959.95592,26977.81969,237116598.34737998,95707.00971,72421793.88366,4323866.1453,3698.3531,6488243.75799,1104939.49944,97.28508,780157.94,5047.1756,556285.62703,,,0.45907,,4083259.53796,411228.8,38986.04292,152581.09947999998,,1723.90538,137598.98071,13872123.98114,234907.37147,1639724.27548,,105507.27303,14081.18563,6789.696,3935873.1894099996,29008948.5531,7279.73264,287575.05337,19027.14629,242821.69611,75958.53404,3883235.3156600003,,27844.5357,,1844196.63455,0.01251,2754731.85781,983798.01233,31989988.60222,2571066.97886,99895.20132000001,3469320.25222,2251648.0344800004,,210804627.98976,2384106.71528,688092.76794,185084107.32794002,1474528.35104,6522845.72121,1223972.66395,32264.691759999998,1441.16303,422263.26103,23729.648419999998,267951.62336,41395044.93985,,288971.59186,2618696.03382,447.61473,47891914.85909
2023-06-09,,,,10198104.29721,,,,1651256.693,8380.107,248313.39694,12520.02128,,,455222.36660999997,2417724.66537,,2704.35767,1732061.71053,23507.64229,237034383.01294,95707.00971,71714146.40213,4271588.89685,3699.35889,6488243.75799,1104939.49944,97.28508,781416.02,5047.1756,556285.5269699999,,,0.45907,,4081568.70847,412026.38,39557.56439,151860.35297,,1724.05832,137598.98071,13787157.393590001,234934.72575,1634738.12453,,115007.27303,13783.80693,6789.696,3935989.68473,28997506.84313,7279.73264,309502.32626,18915.14258,243572.43483,75958.53404,3883235.3156600003,,27810.44864,,1863855.29096,0.01251,2754344.21278,931317.15705,31996946.27988,2455417.54432,95928.15102,285871.10977,2251148.49335,,230664100.11055,2459233.89574,134762.76794,196545732.67954,1344225.03301,6522845.72121,1206993.25895,32283.95479,1443.87471,438859.26632,23681.79262,267951.62336,41161606.22964,,288614.80491,2618696.03382,447.57876000000005,47891914.85909
