date,tvl
"June 25, 2021",451721654.3474763
"June 26, 2021",423082407.4742572
"June 27, 2021",449526718.3114244
"June 28, 2021",463489716.16626996
"June 29, 2021",479139300.4215771
"June 30, 2021",491278563.2791342
"July 01, 2021",507472545.46837944
"July 02, 2021",790560134.3107725
"July 03, 2021",869787882.4708765
"July 04, 2021",873447774.2943355
"July 05, 2021",853035678.1696217
"July 06, 2021",885504287.8261279
"July 07, 2021",898078491.3497908
"July 08, 2021",855072855.9787463
"July 09, 2021",858662277.0980101
"July 10, 2021",848788418.7076516
"July 11, 2021",855127870.5472093
"July 12, 2021",832663878.01309
"July 13, 2021",822681125.192694
"July 14, 2021",831885719.2658205
"July 15, 2021",785680900.9969425
"July 16, 2021",781718508.8521596
"July 17, 2021",876082630.3662978
"July 18, 2021",886311874.7374359
"July 19, 2021",861778925.0371583
"July 20, 2021",854373925.9620967
"July 21, 2021",891610556.8016365
"July 22, 2021",919195017.7124201
"July 23, 2021",949581083.1622052
"July 24, 2021",970500584.9234222
"July 25, 2021",986521609.246744
"July 26, 2021",997549981.7371631
"July 27, 2021",1023543512.6990951
"July 28, 2021",1066854850.7612622
"July 29, 2021",1135937951.919162
"July 30, 2021",1192566472.6193671
"July 31, 2021",1244169934.183528
"August 01, 2021",1204468607.3054578
"August 02, 2021",1235666585.611446
"August 03, 2021",1245829134.4095154
"August 04, 2021",1290175469.6008487
"August 05, 2021",1364332724.7326186
"August 06, 2021",1314146303.5038822
"August 07, 2021",1327362328.3043313
"August 08, 2021",1304155427.5481122
"August 09, 2021",1361913465.3280308
"August 10, 2021",1343991878.3033328
"August 11, 2021",1343511249.987896
"August 12, 2021",1402560821.0859737
"August 13, 2021",1463369152.145377
"August 14, 2021",1508051128.1089544
"August 15, 2021",1631699574.4845362
"August 16, 2021",1729658493.8496153
"August 17, 2021",1786087698.99532
"August 18, 2021",1997161281.731065
"August 19, 2021",2103736573.9143345
"August 20, 2021",2274158626.157109
"August 21, 2021",2275112735.0633316
"August 22, 2021",2218000709.2576504
"August 23, 2021",2250117206.284398
"August 24, 2021",2204595032.1909204
"August 25, 2021",2193191446.9636827
"August 26, 2021",2253275462.0342736
"August 27, 2021",2439598288.1588044
"August 28, 2021",2567798840.786451
"August 29, 2021",2593429465.744455
"August 30, 2021",2709652837.339843
"August 31, 2021",2735864215.3679247
"September 01, 2021",2877963188.442323
"September 02, 2021",3029584097.7810717
"September 03, 2021",3191574879.1453276
"September 04, 2021",3328505721.2832856
"September 05, 2021",3546418516.8844137
"September 06, 2021",4208649902.373311
"September 07, 2021",3966327656.174139
"September 08, 2021",4816807931.075171
"September 09, 2021",5658526089.876707
"September 10, 2021",6350729997.934286
"September 11, 2021",6694664395.303898
"September 12, 2021",7604633491.799221
"September 13, 2021",7326415289.37061
"September 14, 2021",7151040148.675816
"September 15, 2021",7131258837.151747
"September 16, 2021",6704300350.212231
"September 17, 2021",6483722696.495306
"September 18, 2021",7201356136.946277
"September 19, 2021",6882391944.936136
"September 20, 2021",5953651385.574061
"September 21, 2021",5543049945.991224
"September 22, 2021",6276025424.628705
"September 23, 2021",6556372861.662885
"September 24, 2021",6268148420.420803
"September 25, 2021",6353408536.352924
"September 26, 2021",6342540189.946846
"September 27, 2021",6323728767.892377
"September 28, 2021",6147041839.765093
"September 29, 2021",6277367087.086303
