date,ethereum_compound,total_fees
2020-02-04,416.6165802059449,416.6165802059449
2020-02-05,435.96917913720347,435.96917913720347
2020-02-06,451.9977875607481,451.9977875607481
2020-02-07,448.69827307049485,448.69827307049485
2020-02-08,428.6808736202234,428.6808736202234
2020-02-09,434.20945581337975,434.20945581337975
2020-02-10,441.3074401821937,441.3074401821937
2020-02-11,443.6827428910798,443.6827428910798
2020-02-12,435.66277351502833,435.66277351502833
2020-02-13,445.96346221050663,445.96346221050663
2020-02-14,491.7214110708237,491.7214110708237
2020-02-15,502.75089341103916,502.75089341103916
2020-02-16,464.4186066959096,464.4186066959096
2020-02-17,462.4905677835147,462.4905677835147
2020-02-18,520.2217173079405,520.2217173079405
2020-02-19,542.7217703687699,542.7217703687699
2020-02-20,553.011608956664,553.011608956664
2020-02-21,570.568109492472,570.568109492472
2020-02-22,548.6947278036199,548.6947278036199
2020-02-23,536.3239513240496,536.3239513240496
2020-02-24,542.1300774510222,542.1300774510222
2020-02-25,541.6494879170498,541.6494879170498
2020-02-26,533.8189991457449,533.8189991457449
2020-02-27,550.6167658648126,550.6167658648126
2020-02-28,547.6396066742808,547.6396066742808
2020-02-29,547.0078543981164,547.0078543981164
2020-03-01,561.6346317136671,561.6346317136671
2020-03-02,554.3073097152995,554.3073097152995
2020-03-03,556.1473126440151,556.1473126440151
2020-03-04,563.9853722798083,563.9853722798083
2020-03-05,547.0400078865837,547.0400078865837
2020-03-06,502.9484621365243,502.9484621365243
2020-03-07,502.8239863376897,502.8239863376897
2020-03-08,480.73119093693487,480.73119093693487
2020-03-09,465.42244092570144,465.42244092570144
2020-03-10,411.849111059914,411.849111059914
2020-03-11,541.964781165326,541.964781165326
2020-03-12,625.8396025902301,625.8396025902301
2020-03-13,346.590307550556,346.590307550556
2020-03-14,273.7144660021585,273.7144660021585
2020-03-15,338.8707405760411,338.8707405760411
2020-03-16,324.4194257160082,324.4194257160082
2020-03-17,235.5460141409358,235.5460141409358
2020-03-18,180.28585139769524,180.28585139769524
2020-03-19,184.52509714082066,184.52509714082066
2020-03-20,159.14309212777556,159.14309212777556
2020-03-21,137.18994999868255,137.18994999868255
2020-03-22,135.94327694453497,135.94327694453497
2020-03-23,129.78465314976447,129.78465314976447
2020-03-24,131.7695824591825,131.7695824591825
2020-03-25,135.9027439898214,135.9027439898214
2020-03-26,140.5323810119504,140.5323810119504
2020-03-27,140.95566288448802,140.95566288448802
2020-03-28,143.49877118890228,143.49877118890228
2020-03-29,142.20333665145986,142.20333665145986
2020-03-30,140.12252913407252,140.12252913407252
2020-03-31,139.35122230676427,139.35122230676427
2020-04-01,137.24078219479398,137.24078219479398
2020-04-02,139.24729347620635,139.24729347620635
2020-04-03,135.5540835349055,135.5540835349055
2020-04-04,134.59517907811747,134.59517907811747
2020-04-05,111.68877243294065,111.68877243294065
2020-04-06,46.69092807777053,46.69092807777053
2020-04-07,51.115387827123875,51.115387827123875
2020-04-08,50.62182466294363,50.62182466294363
2020-04-09,51.35581413707989,51.35581413707989
2020-04-10,50.56236882382077,50.56236882382077
2020-04-11,52.230976713158135,52.230976713158135
2020-04-12,51.31884509317976,51.31884509317976
2020-04-13,51.54036115575773,51.54036115575773
2020-04-14,51.21986218373191,51.21986218373191
2020-04-15,52.244017293862896,52.244017293862896
2020-04-16,58.84076105517123,58.84076105517123
2020-04-17,131.93499200059952,131.93499200059952
2020-04-18,183.63359072777226,183.63359072777226
2020-04-19,318.92693962502085,318.92693962502085
2020-04-20,267.73157457548734,267.73157457548734
2020-04-21,187.24501807214745,187.24501807214745
2020-04-22,85.95978921218892,85.95978921218892
2020-04-23,114.1243413884307,114.1243413884307
2020-04-24,123.18757862688997,123.18757862688997
2020-04-25,110.45467166361534,110.45467166361534
2020-04-26,107.84127403434803,107.84127403434803
2020-04-27,110.2320581331673,110.2320581331673
2020-04-28,102.9266316568528,102.9266316568528
2020-04-29,91.25724632663947,91.25724632663947
2020-04-30,138.2534660757856,138.2534660757856
2020-05-01,166.1192385640692,166.1192385640692
2020-05-02,73.90604074715219,73.90604074715219
2020-05-03,73.0951787958484,73.0951787958484
2020-05-04,71.86683778109243,71.86683778109243
2020-05-05,74.60874978877075,74.60874978877075
2020-05-06,81.180177872707,81.180177872707
2020-05-07,94.76940877684198,94.76940877684198
2020-05-08,108.11405759431209,108.11405759431209
2020-05-09,121.0086397052644,121.0086397052644
2020-05-10,110.14002942715116,110.14002942715116
2020-05-11,78.82769392801603,78.82769392801603
2020-05-12,78.15982281559543,78.15982281559543
2020-05-13,73.68026138294172,73.68026138294172
2020-05-14,75.13004110670948,75.13004110670948
2020-05-15,82.60438214814391,82.60438214814391
2020-05-16,80.31529490819166,80.31529490819166
2020-05-17,78.25770678015537,78.25770678015537
2020-05-18,89.89401210260989,89.89401210260989
2020-05-19,107.49642464623682,107.49642464623682
2020-05-20,101.62438081958395,101.62438081958395
2020-05-21,107.0228063849612,107.0228063849612
2020-05-22,98.52247587119682,98.52247587119682
2020-05-23,92.69081406448446,92.69081406448446
2020-05-24,106.66982782476519,106.66982782476519
2020-05-25,107.19915004760409,107.19915004760409
2020-05-26,107.0672982180803,107.0672982180803
2020-05-27,110.20332400387291,110.20332400387291
2020-05-28,114.60038842609254,114.60038842609254
2020-05-29,126.35428138573508,126.35428138573508
2020-05-30,126.31865329237893,126.31865329237893
2020-05-31,127.29491736200622,127.29491736200622
2020-06-01,125.95901830748039,125.95901830748039
2020-06-02,125.93592499194362,125.93592499194362
2020-06-03,109.27719388171411,109.27719388171411
