date,avax_AAVE V2,avax_AAVE V3,ethereum_AAVE V2,ethereum_AAVE V3,fantom_AAVE V2,fantom_AAVE V3,harmony_AAVE V2,harmony_AAVE V3,optimism_AAVE V2,optimism_AAVE V3,polygon_AAVE V2,polygon_AAVE V3,total_fees
2022-04-10,212820.65983093908,236.09739813151,483816.67946939677,0,0,416.4227311624835,0,201.5385057603094,0,50.6099661285554,37176.992416958325,1027.6241629361004,735746.624481413
2022-04-11,208915.82174014905,264.21869686111944,501188.7310610055,0,0,310.3266350533292,0,218.38672351337527,0,24.908349144092803,39795.249533383394,1153.3810477173588,751871.0237868271
2022-04-12,209254.80869591658,225.25556154765871,495474.56702503323,0,0,259.7420703119769,0,263.2813717553475,0,23.5177835574296,41541.466755695,1375.7564193751518,748418.3956831923
2022-04-13,213516.34018186398,277.9313921894247,502146.83928196057,0,0,350.13140940055376,0,264.0696302740608,0,30.35260687770333,35211.534004763016,1302.3849834799535,753099.5834908093
2022-04-14,207759.5351292474,537.2424345958908,501027.2949714038,0,0,478.0635049932346,0,284.0034076789149,0,40.136698039196844,35894.32876589028,1154.918609719764,747175.5235215686
2022-04-15,203729.53461855836,322.7968091995375,478224.0842878401,0,0,537.6774610375676,0,409.44510271910843,0,36.19124949342353,36085.46238165385,1310.3500986576332,720655.5420091597
2022-04-16,200193.08508788713,295.1999971402752,521548.3020103216,0,0,469.6574823113152,0,336.5521200172705,0,38.06772209734291,33565.8920327612,1276.2164915393541,757722.9729440756
2022-04-17,197754.93868314108,336.34333995934037,1399548.9307163274,0,0,294.3187972286546,0,315.0424979822245,0,38.47808069488015,51221.13648049568,1377.7158151065084,1650886.9044109357
2022-04-18,196317.16788627332,307.22627122241903,529790.1772695525,0,0,364.23182261529485,0,365.75213579228125,0,31.987315882944138,53188.91614413506,1394.669142366117,781760.12798784
2022-04-19,200847.877392963,1995.59906702366,516362.5469660095,0,0,278.6719345252763,0,375.9236080000464,0,39.348551786296824,35805.29478177576,1195.6680395028868,756900.9303415864
2022-04-20,125020.80159153341,122454.13332592256,523249.60163066495,0,0,638.1199039859986,0,284.9969367763709,0,35.082139076895906,36087.26526325757,1247.7687669306142,809017.7695581482
2022-04-21,51097.729204567135,380481.4100164846,579675.9213705824,0,0,734.7984859461337,0,224.29095964065516,0,36.93964427937912,36577.20578763727,1353.1564707873856,1050181.451939925
2022-04-22,36332.68506823892,391598.1075966075,582161.0418384789,0,0,467.2164798151633,0,242.63558652649678,0,51.60645357423283,33885.27106839793,1507.8420253540448,1046246.406116993
2022-04-23,32657.59015592116,424734.89242564415,636481.8988003348,0,0,664.9265524443557,0,268.6863640821728,0,33.1306126505229,32551.964794638356,1563.2822632737893,1128956.3719689893
2022-04-24,27226.680093968003,374235.11653382605,750609.9037774968,0,0,444.0557122541958,0,232.25117511719523,0,47.9959980651401,32891.88662974795,1511.8882486358834,1187199.778169111
2022-04-25,27165.37403408187,329700.0952114629,546980.9579415697,0,0,512.9137680193409,0,219.56762653736735,0,104.22721667019081,31146.157693736648,1593.1627224376468,937422.4562145157
2022-04-26,29862.54687226446,455634.26520858874,522657.71386590856,0,0,408.2083780731359,0,227.77588680423935,0,149.9654865666841,34391.75355625501,1450.7873152932357,1044783.0165697541
2022-04-27,27463.12327060861,400970.2318367646,553493.8864320017,0,0,326.3090800286947,0,230.66358567165526,0,108.28078658632352,32992.74415587696,1499.0050903033502,1017084.2442378419
2022-04-28,25486.481640012335,366416.2647822259,594720.95532577,0,0,625.8031722595691,0,227.38351552760338,0,87.1538752669339,35121.98670013419,1388.035144225323,1024074.0641554218
2022-04-29,25310.189718107995,353076.3097461931,553440.2702642516,0,0,458.80373498319074,0,201.73546079917352,0,90.03588185547184,33720.19717633008,1338.7259451388668,967636.2679276597
2022-04-30,25492.89089933551,333046.2248529048,506336.77644820086,0,0,395.0255190493052,0,164.19881202707106,0,87.30476681614506,34027.705126188375,1297.6792028767754,900847.8056273988
2022-05-01,24083.494641255376,331211.4892596661,441343.4043138945,0,0,474.86510237371914,0,168.8918122111725,0,102.21392837987862,31290.63863900576,1527.2516029702767,830202.2492997568
2022-05-02,24743.458855463297,331806.873958056,450037.0969652308,0,0,359.73283142132146,0,230.83872804459435,0,120.40027378488975,30124.390293035918,1814.3689280616672,839237.1608330986
2022-05-03,24710.194346112836,261245.6242341536,459620.17473538965,0,0,380.4694674714441,0,198.92446216719708,0,80.04686400434775,30028.023350472213,1957.0882938962843,778220.5457536675
2022-05-04,24681.68093052702,228398.9781083495,478877.9299992853,0,0,442.33497363289854,0,202.0048805793701,0,130.1665105381978,31285.147923050055,2376.4566202376054,766394.6999461999
2022-05-05,23320.582710787083,215197.98401037187,463153.4098864551,0,0,375.18858760087625,0,204.96073982361048,0,100.93916101098438,32722.49403183391,1783.7504260045457,736859.3095538879
2022-05-06,22039.482110585286,208488.12507228195,476729.57586400455,0,0,414.92087960827826,0,231.07244020742175,0,103.98711604601587,33998.43171598197,1955.4290052254569,743961.024203941
2022-05-07,20606.997205598764,207564.4717956163,466136.7800818816,0,0,537.8405334406891,0,206.19010934723826,0,104.83619090060739,41196.56633405066,2153.280718523637,738506.9629693595
2022-05-08,19331.928801464343,203181.07134103862,459778.9141062801,0,0,1288.8291587842125,0,190.84550991459668,0,132.88988484343074,71755.10545573245,3327.7997149230564,758987.3839729808
2022-05-09,23844.81544398655,189772.50544261257,356928.9199796067,0,0,1089.8946176299962,0,198.58008008438753,0,358.57120539726793,34452.12745234431,2300.732107908465,608946.1463295702
2022-05-10,24101.707567008183,171267.494702029,332293.34263081936,0,0,226.9063678182339,0,226.450039598242,0,227.78619170459461,29606.83053106228,1741.2275428322282,559691.7455728721
2022-05-11,18520.536189958133,149356.51070161772,381649.34882792435,0,0,980.5777466796299,0,153.05635540596163,0,201.68222913512915,36755.44393954082,2097.97709736787,589715.1330876296
2022-05-12,29123.851426111778,104512.40190690642,401143.0717868094,0,0,175.72006692025843,0,146.85767240977307,0,220.75380910542765,35887.394169500505,3224.669849696529,574434.7206874602
2022-05-13,22195.75517296365,87989.35582335622,340169.1292665853,0,0,190.76767415888136,0,229.52314093644316,0,168.46035299352968,29000.96282256168,2179.3908678711746,482123.3451214269
2022-05-14,19715.654836531026,91529.82341511351,337471.31269967003,0,0,263.2791635301179,0,236.87359278911458,0,170.33766808329665,18627.47242016682,1788.0618941978646,469802.8156900818
2022-05-15,14228.297939139777,91162.85898757988,338206.3701586311,0,0,383.07937199044136,0,251.155163746656,0,138.51354290003587,20924.18073361305,1981.0585814106137,467275.5144790116
2022-05-16,13640.317676931929,89471.2268122055,305054.49227654265,0,0,413.27389798661085,0,244.2229790119655,0,155.48123767424892,23689.1403854965,1976.5247820321651,434644.68004788156
2022-05-17,15817.714456967178,92533.22944213505,300028.3853721688,0,0,613.5516815396576,0,262.2112733328889,0,135.59606541697136,21016.200990709884,2102.2538128047213,432509.14309507515
2022-05-18,15207.020151402754,94314.21983829331,274105.8893722358,0,0,516.9693371465746,0,240.00475171381962,0,143.8334622532826,19613.858343507833,2174.666086075981,406316.46134262934
2022-05-19,15238.261914143482,98573.23446050455,283272.4614122232,0,0,525.1992399621744,0,265.29363966538614,0,195.64183224003145,21325.508340884066,1805.5795456499768,421201.18038527283
2022-05-20,13232.86107857079,122742.45765175363,295317.8711227167,0,0,615.2403265322429,0,243.469766321398,0,151.394583675468,20215.724002764342,1793.812577082573,454312.83110941714
2022-05-21,13544.27687204069,132719.78524498479,289410.409391198,0,0,348.2269636636477,0,180.42038544789,0,167.3251310934831,18885.795514066038,1928.8282929350214,457185.0677954296
2022-05-22,14311.31497420298,95749.09340513812,282942.52796903177,0,0,454.8108143069616,0,190.7441292216871,0,170.91192980358153,18013.616487717925,1747.907908814787,413580.9276182379
2022-05-23,13103.58749664149,91169.11636245338,260064.68852653904,0,0,448.1059921336633,0,265.03760035972704,0,161.79918566565058,19182.64429947933,1713.3699288890139,386108.3493921613
2022-05-24,12959.41729052356,89097.32271172578,244995.7524577041,0,0,484.0418309967555,0,268.79458378505313,0,218.28012852465892,18352.331632037592,1859.1533508773846,368235.09398617485
2022-05-25,12415.419899338998,89473.78613935817,239522.45855132202,0,0,728.6040316732093,0,271.85481196303186,0,218.0767234862705,17946.224847932364,1624.9866895818225,362201.4116946559
2022-05-26,11281.741379316834,70107.77359115779,231366.15715765988,0,0,1145.3408335527529,0,263.79070778285643,0,178.42831441699937,20385.25955803791,1570.1297675695682,336298.62130949454
