timestamp,tvlUSD,apy
07/08/2023,822734,0.0765
07/09/2023,825072,0.0
07/10/2023,823678,0.03801
07/11/2023,838474,0.1027
07/12/2023,825904,0.0726
07/13/2023,867250,0.0
07/14/2023,838536,0.0
07/15/2023,837314,0.0
07/16/2023,833977,0.0
07/17/2023,815072,0.01299
07/18/2023,800039,0.0
07/19/2023,785460,0.16378
07/20/2023,754951,0.33972
07/21/2023,760718,0.2022
07/22/2023,762909,0.0
07/23/2023,775628,0.0
07/24/2023,735143,0.0
07/25/2023,736544,0.0
07/26/2023,734080,0.0
