date,volume
2020-04-17,430009320.62998676
2020-04-18,481629819.18067956
2020-04-19,464921272.04344153
2020-04-20,628330198.9229877
2020-04-21,436997428.117316
2020-04-22,487566560.7268591
2020-04-23,807998773.2679343
2020-04-24,513291743.6435925
2020-04-25,519336675.3512739
2020-04-26,432753914.24596643
2020-04-27,676556201.4134454
2020-04-28,702528311.5008175
2020-04-29,826523918.5311545
2020-04-30,731506426.932745
2020-05-01,688359200.4463625
2020-05-02,663596749.2513158
2020-05-03,685685499.3587494
2020-05-04,629604476.1725295
2020-05-05,524017526.2711622
2020-05-06,555466632.244732
2020-05-07,597493794.1778498
2020-05-08,552514124.4165227
2020-05-09,570052878.4175192
2020-05-10,608636509.1083456
2020-05-11,597430428.044987
2020-05-12,630937864.361826
2020-05-13,501363238.1290701
2020-05-14,556556086.8244783
2020-05-15,471038741.0679465
2020-05-16,430786880.9518056
2020-05-17,445554365.0640702
2020-05-18,496772690.7921702
2020-05-19,442133346.4309562
2020-05-20,440784204.0916208
2020-05-21,425781365.375824
2020-05-22,366003909.9492994
2020-05-23,334781647.22174513
2020-05-24,326000859.9285657
2020-05-25,391649130.03333455
2020-05-26,314142723.10652745
2020-05-27,358700615.2185091
2020-05-28,389348712.30335003
2020-05-29,384276029.2235987
2020-05-30,402936316.7821314
2020-05-31,542515555.9374642
2020-06-01,539303205.3504821
2020-06-02,682205984.2790066
2020-06-03,531939067.8889694
2020-06-04,598563672.51652
2020-06-05,526412527.56495947
2020-06-06,405724236.43869
2020-06-07,407604084.61613166
2020-06-08,327615474.3363169
2020-06-09,335215380.9816042
2020-06-10,369001351.16357785
2020-06-11,476315711.9721977
2020-06-12,373830184.2627332
2020-06-13,308695959.8686283
2020-06-14,300911906.2480133
2020-06-15,439129810.8607788
2020-06-16,349488151.0278015
2020-06-17,383855878.4212386
2020-06-18,321528288.6735914
2020-06-19,329517325.5906821
2020-06-20,298371081.3798336
2020-06-21,254105108.56436804
2020-06-22,333846533.87688214
2020-06-23,284638961.8732084
2020-06-24,278508684.484719
2020-06-25,245189956.77128252
2020-06-26,228887879.17329332
2020-06-27,195847178.61704603
2020-06-28,182779477.75259253
2020-06-29,209740912.09918958
2020-06-30,206613803.9000456
2020-07-01,217950405.41292143
2020-07-02,251622184.40330485
2020-07-03,183776250.23394156
2020-07-04,191711706.43100163
2020-07-05,176931094.79369006
2020-07-06,250345611.46313462
2020-07-07,229685303.89284438
2020-07-08,438968364.8031267
2020-07-09,738330762.3367245
2020-07-10,462236406.07865095
2020-07-11,531055280.53645915
2020-07-12,339019815.27151984
2020-07-13,346266163.4431685
2020-07-14,275709175.7592207
2020-07-15,350121910.67081857
2020-07-16,454206077.00928915
2020-07-17,459758655.4789512
2020-07-18,238488942.99037892
2020-07-19,198970325.23355016
2020-07-20,221087464.36767268
2020-07-21,204964387.8352618
2020-07-22,172484396.21909678
2020-07-23,242016179.75543305
2020-07-24,208528275.42499328
2020-07-25,220029184.27564666
2020-07-26,275908951.8491023
2020-07-27,309483947.51207554
2020-07-28,263870476.50206903
2020-07-29,212388739.52576765
2020-07-30,154623578.30287638
2020-07-31,146570975.49744016
2020-08-01,351449094.2317987
2020-08-02,424488054.72939
2020-08-03,258120628.19451222
2020-08-04,270250293.2775709
2020-08-05,184707394.34837595
2020-08-06,176664480.1875336
2020-08-07,383759934.5907041
2020-08-08,151757094.3403754
2020-08-09,186538688.99021018
2020-08-10,200738644.92624822
2020-08-11,482570868.45494586
2020-08-12,185802189.3821983
2020-08-13,215715817.3413768
2020-08-14,251371187.61358085
2020-08-15,234343360.30940035
2020-08-16,272566418.431417
2020-08-17,397643054.33902895
2020-08-18,234281348.77992123
2020-08-19,240594317.74597412
2020-08-20,194541011.57576013
2020-08-21,254269659.2716018
2020-08-22,199051301.70079088
2020-08-23,155374737.18880093
2020-08-24,161233293.6970157
2020-08-25,212996140.1432044
2020-08-26,214422350.11901015
2020-08-27,241715434.1596894
2020-08-28,173866929.32112643
2020-08-29,171307311.93184322
2020-08-30,189386743.68129906
2020-08-31,190688756.74669904
2020-09-01,242617511.85475427
2020-09-02,250259368.02083167
2020-09-03,241865462.10869235
2020-09-04,277436299.90502137
2020-09-05,208555219.16057992
2020-09-06,181529874.7800482
2020-09-07,148146921.04207215
2020-09-08,134774791.11004794
2020-09-09,106793692.4981596
2020-09-10,145968076.3680451
2020-09-11,130921716.19228224
2020-09-12,119848621.24115472
2020-09-13,123963958.63606979
2020-09-14,131675579.77756937
2020-09-15,147088935.9742224
2020-09-16,163865056.16545185
2020-09-17,127355231.15937111
2020-09-18,95727409.68120784
2020-09-19,88708765.82861842
2020-09-20,90637537.13573733
2020-09-21,115058043.29216905
2020-09-22,98045733.62638365
2020-09-23,104798608.12925433
2020-09-24,129463554.75216535
2020-09-25,153457711.16996956
2020-09-26,111532845.69056498
2020-09-27,105149283.68506956
2020-09-28,118060246.97353539
2020-09-29,107897823.58783643
2020-09-30,108241221.16968837
2020-10-01,146168920.09155607
2020-10-02,148215779.44433966
2020-10-03,98274825.87609833
2020-10-04,97346351.3979324
2020-10-05,120980240.09526297
2020-10-06,146306369.67919147
2020-10-07,117913166.41518505
2020-10-08,122540936.7837415
2020-10-09,139951190.37908787
2020-10-10,129732549.7929042
2020-10-11,108906023.8531998
2020-10-12,116367613.83478789
2020-10-13,107816044.45112753
2020-10-14,101356031.93834454
2020-10-15,100302359.3382334
2020-10-16,135736924.7937659
2020-10-17,226493912.4205695
2020-10-18,146374549.94867486
2020-10-19,261618730.2551413
2020-10-20,178070305.1294566
2020-10-21,196027929.01350224
2020-10-22,161092930.74787438
2020-10-23,125297508.6898552
2020-10-24,119787826.97504883
2020-10-25,116289477.84457509
2020-10-26,152165552.88442758
2020-10-27,144973751.89111063
2020-10-28,140713455.54607883
2020-10-29,126194264.5083554
2020-10-30,101874093.63099785
2020-10-31,227946922.11759046
2020-11-01,97481756.24154687
2020-11-02,109050339.35392453
2020-11-03,109552427.53462633
2020-11-04,105181931.96914224
2020-11-05,167582609.72083583
2020-11-06,175457662.24301904
2020-11-07,193680025.56498396
2020-11-08,124970241.06640276
2020-11-09,139645836.70842674
2020-11-10,138041607.43936792
2020-11-11,128122568.82557555
2020-11-12,122281469.57250495
2020-11-13,121221519.20749481
2020-11-14,151063089.2768758
2020-11-15,115896027.39322574
2020-11-16,123163984.59709963
2020-11-17,211488179.61029887
2020-11-18,182993187.51614225
2020-11-19,142829412.01883164
2020-11-20,156990422.1007395
2020-11-21,625720519.5514272
