Date,goldfinch-borrowed,goldfinch-Ethereum-borrowed,goldfinch-Ethereum
2021-10-15,12202942.75735,12202942.75735,23910688.65757
2021-10-16,12202942.75735,12202942.75735,22960795.71238
2021-10-17,12202942.75735,12202942.75735,22834509.96306
2021-10-18,12202942.75735,12202942.75735,22890267.64376
2021-10-19,12197060.93894,12197060.93894,23680488.90364
2021-10-20,12202942.75735,12202942.75735,23729764.98515
2021-10-21,12202942.75735,12202942.75735,24339400.72434
2021-10-22,17202942.75735,17202942.75735,24387517.9655
2021-10-23,17202942.75735,17202942.75735,19379410.88952
2021-10-24,17374972.18492,17374972.18492,19575482.26414
2021-10-25,17374972.18492,17374972.18492,19603661.91917
2021-10-26,17202942.75735,17202942.75735,19402209.75818
2021-10-27,17202942.75735,17202942.75735,20047578.78477
2021-10-28,17191502.80042,17191502.80042,19822845.91701
2021-10-29,17202942.75735,17202942.75735,20070934.50401
2021-10-30,17202942.75735,17202942.75735,19589610.26433
2021-10-31,18202942.75735,18202942.75735,19580261.45686
2021-11-01,18183265.37623,18183265.37623,19511549.77644
2021-11-02,18202942.75735,18202942.75735,19521500.02486
2021-11-03,18202942.75735,18202942.75735,19426749.07486
2021-11-04,18202942.75735,18202942.75735,19552535.89527
2021-11-05,18202942.75735,18202942.75735,19241965.94814
2021-11-06,18202942.75735,18202942.75735,18760190.72596
2021-11-07,18202942.75735,18202942.75735,18679475.60092
2021-11-08,18202942.75735,18202942.75735,18946482.33921
2021-11-09,18202942.75735,18202942.75735,18043739.62663
2021-11-10,18202942.6761,18202942.6761,18010652.63174
2021-11-11,18202942.6761,18202942.6761,18094229.29775
2021-11-12,22059948.68509,22059948.68509,14163208.91249
2021-11-13,22059948.68509,22059948.68509,13665976.52851
2021-11-14,22059948.68509,22059948.68509,13948104.76161
2021-11-15,22280548.17194,22280548.17194,14094310.58548
2021-11-16,22059948.68509,22059948.68509,13647026.15064
2021-11-17,22059948.68509,22059948.68509,13538811.30907
2021-11-18,22280548.17194,22280548.17194,13584592.32929
2021-11-19,22059948.68509,22059948.68509,13616469.65571
2021-11-20,22280548.17194,22280548.17194,13845580.92889
2021-11-21,22280548.17194,22280548.17194,13863025.42155
2021-11-22,22059948.68509,22059948.68509,13519283.09865
2021-11-23,22034579.74411,22034579.74411,13298478.0847
2021-11-24,22059948.68509,22059948.68509,13063355.24272
2021-11-25,22059948.68509,22059948.68509,13056811.49564
2021-11-26,22042455.14579,22042455.14579,13049729.16047
2021-11-27,22024013.02869,22024013.02869,12985686.7706
2021-11-28,21985143.3991,21985143.3991,12880393.26569
2021-11-29,22058889.80756,22058889.80756,12902150.54251
2021-11-30,22025932.24422,22025932.24422,15009974.78814
2021-12-01,29492915.43322,29492915.43322,5120839.25164
2021-12-02,29559838.90851,29559838.90851,5027944.68115
2021-12-03,29525785.97409,29525785.97409,4998127.72063
2021-12-04,29509409.82333,29509409.82333,4971234.12489
2021-12-05,29504355.09088,29504355.09088,4945645.12658
2021-12-06,29559838.90851,29559838.90851,4896276.6384
2021-12-07,29559838.90851,29559838.90851,4882781.35688
2021-12-08,29559838.90851,29559838.90851,4888095.23857
2021-12-09,29553394.86363,29553394.86363,4831182.12582
2021-12-10,29541925.64613,29541925.64613,4802323.16268
2021-12-11,29444969.31962,29444969.31962,4764166.48028
2021-12-12,29494422.93002,29494422.93002,4744216.56066
2021-12-13,29493683.93405,29493683.93405,5458106.49289
2021-12-14,29512454.43172,29512454.43172,5340498.95873
2021-12-15,29446169.48226,29446169.48226,6781275.8804
2021-12-16,29412909.3242,29412909.3242,7502398.57331
2021-12-17,29456598.26521,29456598.26521,7492448.9765
2021-12-18,29455272.57246,29455272.57246,5982286.40175
2021-12-19,29459838.84748,29459838.84748,6360840.77037
2021-12-20,29407960.07127,29407960.07127,6036446.13299
2021-12-21,33209838.84748,33209838.84748,1195819.73491
2021-12-22,33209838.84748,33209838.84748,1671744.039
2021-12-23,33209838.84748,33209838.84748,2009302.90734
2021-12-24,33209838.84748,33209838.84748,2035400.08408
2021-12-25,33209838.84748,33209838.84748,2034951.15908
2021-12-26,33209838.84748,33209838.84748,2022268.65908
2021-12-27,33209838.84748,33209838.84748,2024604.56007
2021-12-28,33209838.84748,33209838.84748,1990067.66512
2021-12-29,33209838.84748,33209838.84748,1961557.64017
2021-12-30,33174304.31992,33174304.31992,1934799.07668
2021-12-31,33209838.84748,33209838.84748,1965047.29605
2022-01-01,33209838.84748,33209838.84748,1955337.76175
2022-01-02,33209838.84748,33209838.84748,1939700.94936
2022-01-03,33209838.84748,33209838.84748,1928594.90936
2022-01-04,33061564.86399,33061564.86399,1937888.27489
2022-01-05,33058457.07689,33058457.07689,1947880.29108
2022-01-06,33061564.86399,33061564.86399,1996775.55904
2022-01-07,33061564.86399,33061564.86399,7215491.33447
2022-01-08,33061564.83163,33061564.83163,7223258.72177
2022-01-09,33061564.83163,33061564.83163,7580465.1024
2022-01-10,33061564.83163,33061564.83163,7556136.54679
2022-01-11,33061564.83163,33061564.83163,7586734.62326
2022-01-12,33061564.83163,33061564.83163,8925395.69674
2022-01-13,33061564.83163,33061564.83163,17853101.21393
2022-01-14,33060023.72333,33060023.72333,22178445.3414
2022-01-15,33060023.71461,33060023.71461,23065109.37976
2022-01-16,33060023.71461,33060023.71461,23762019.79621
2022-01-17,33060023.71461,33060023.71461,29379295.20394
2022-01-18,33060023.71461,33060023.71461,29816315.83582
2022-01-19,33046832.76514,33046832.76514,30022596.13931
2022-01-20,33060023.71461,33060023.71461,30243122.86453
2022-01-21,33060023.71461,33060023.71461,30116782.48395
2022-01-22,32986266.8017,32986266.8017,28608187.63104
2022-01-23,33031790.45435,33031790.45435,28209345.0099
2022-01-24,33390623.95175,33390623.95175,29749025.07133
2022-01-25,33060023.70629,33060023.70629,30889997.16906
2022-01-26,33390623.94336,33390623.94336,31400323.27509
2022-01-27,33060023.70629,33060023.70629,32157155.8325
2022-01-28,33060023.70629,33060023.70629,33940247.32422
2022-01-29,33060023.70629,33060023.70629,33808618.42612
2022-01-30,33060023.69953,33060023.69953,34283595.01732
2022-01-31,33026930.61581,33026930.61581,36793208.43357
2022-02-01,33060023.69953,33060023.69953,49124778.68971
2022-02-02,33011853.9884,33011853.9884,49340994.66395
2022-02-03,33011853.9884,33011853.9884,49331099.81369
2022-02-04,32921949.7612,32921949.7612,49109701.44633
2022-02-05,33240681.43841,33240681.43841,49628596.85594
2022-02-06,32866378.20079,32866378.20079,48783833.26465
2022-02-07,32911565.7806,32911565.7806,48829839.20975
2022-02-08,32910841.72433,32910841.72433,48772958.6369
2022-02-09,32665880.84135,32665880.84135,49594023.88922
2022-02-10,32665880.84135,32665880.84135,49541952.51858
2022-02-11,32665880.83506,32665880.83506,49722357.35487
2022-02-12,32661438.27527,32661438.27527,50562949.90889
2022-02-13,32644177.75037,32644177.75037,50690755.12101
2022-02-14,32676789.31656,32676789.31656,50076234.24291
2022-02-15,32644177.75037,32644177.75037,50815068.4997
2022-02-16,32644177.75037,32644177.75037,50793630.60582
2022-02-17,32611566.18419,32611566.18419,50963836.86465
2022-02-18,32600413.02855,32600413.02855,50989739.76731
2022-02-19,32644177.75037,32644177.75037,51583850.99151
2022-02-20,32676789.31656,32676789.31656,52247094.98649
2022-02-21,32611566.18419,32611566.18419,53474594.78184
2022-02-22,58177502.75667,58177502.75667,21153178.39542
2022-02-23,58045238.93303,58045238.93303,22371383.86245
2022-02-24,58061379.99667,58061379.99667,22665444.22836
2022-02-25,58119441.37667,58119441.37667,21510363.9784
2022-02-26,65982728.74815,65982728.74815,12358813.17447
2022-02-27,66131706.7689,66131706.7689,12803130.14917
2022-02-28,66197772.41002,66197772.41002,12588120.51527
2022-03-01,66131706.7689,66131706.7689,12911698.07951
2022-03-02,64423274.11953,64423274.11953,12931060.07264
2022-03-03,64358915.20433,64358915.20433,13038282.25673
2022-03-04,64333815.2274,64333815.2274,18130935.87628
2022-03-05,59479654.09863,59479654.09863,20775846.01947
2022-03-06,59598613.40683,59598613.40683,21621464.16833
2022-03-07,59477512.83108,59477512.83108,21259673.27642
2022-03-08,59455862.23699,59455862.23699,21237477.54977
2022-03-09,59470256.31328,59470256.31328,21198387.18287
2022-03-10,58478133.63303,58478133.63303,22816105.5182
2022-03-11,58479654.10404,58479654.10404,22731569.28482
2022-03-12,58538133.75814,58538133.75814,27870245.24482
2022-03-13,58538133.75178,58538133.75178,28176079.32087
2022-03-14,58479654.09768,58479654.09768,28191594.94756
2022-03-15,58398835.21572,58398835.21572,39619823.73362
2022-03-16,58364039.82153,58364039.82153,39572870.43196
2022-03-17,58479654.09768,58479654.09768,40514539.32436
2022-03-18,66666253.75178,66666253.75178,42562855.41461
2022-03-19,66557962.71422,66557962.71422,37555552.17167
2022-03-20,66544309.78513,66544309.78513,37284773.83476
2022-03-21,66586800.36444,66586800.36444,27159394.28238
2022-03-22,66541645.79896,66541645.79896,26938330.67624
2022-03-23,66599654.09768,66599654.09768,27079769.77226
2022-03-24,66525728.48163,66525728.48163,26802073.40577
2022-03-25,66543044.3917,66543044.3917,29681987.07677
2022-03-26,66582937.5845,66582937.5845,29630904.49307
2022-03-27,66565421.86877,66565421.86877,29746531.27583
2022-03-28,66599654.08363,66599654.08363,29731620.18037
2022-03-29,66553567.12184,66553567.12184,29698796.51762
2022-03-30,66666253.73655,66666253.73655,29738813.34612
2022-03-31,67132451.31513,67132451.31513,29980926.7966
2022-04-01,67132451.31116,67132451.31116,30121750.00323
2022-04-02,66999251.99981,66999251.99981,29819962.05544
2022-04-03,66799453.03759,66799453.03759,29660176.73746
2022-04-04,66599654.07536,66599654.07536,29564713.05691
2022-04-05,66284869.26589,66284869.26589,29881845.61025
2022-04-06,66216182.82167,66216182.82167,29869167.7595
2022-04-07,66183762.29082,66183762.29082,29955311.28753
2022-04-08,66036510.75909,66036510.75909,31557568.1691
2022-04-09,66258150.5027,66258150.5027,31645101.79375
2022-04-10,66141463.11151,66141463.11151,28549817.1698
