Date,ribbon-lend-borrowed,ribbon-lend-Ethereum-borrowed,ribbon-lend-Ethereum
2023-02-15,37.29155,37.29155,4633154.43533
2023-02-16,37.38098,37.38098,4627316.0117
2023-02-17,37.27466,37.27466,4612321.10642
2023-02-18,37.33603,37.33603,4219473.20319
2023-02-19,37.33369,37.33369,4217532.24552
2023-02-20,37.3566,37.3566,3419862.42472
2023-02-21,37.32659,37.32659,3415212.46683
2023-02-22,37.39135,37.39135,3419778.36864
2023-02-23,37.40209,37.40209,3419402.15201
2023-02-24,37.38884,37.38884,3416833.61849
2023-02-25,37.41957,37.41957,3256518.11256
2023-02-26,37.4519,37.4519,3207463.68047
2023-02-27,37.50725,37.50725,3205923.01839
2023-02-28,37.52216,37.52216,3205923.01839
2023-03-01,37.68706,37.68706,3218158.12194
2023-03-02,37.51445,37.51445,3201139.4596
2023-03-03,37.56689,37.56689,3201819.5959
2023-03-04,37.53181,37.53181,2965883.5
2023-03-05,37.59676,37.59676,2964785.5905
2023-03-06,37.57413,37.57413,2961823.76673
2023-03-07,37.58906,37.58906,2961823.76673
2023-03-08,37.67919,37.67919,2967747.41427
2023-03-09,37.61893,37.61893,2961823.76673
2023-03-10,37.70912,37.70912,2967747.41427
2023-03-11,37.36606,37.36606,2982812.08872
2023-03-12,36.23891,36.23891,2876300.54507
2023-03-13,37.38375,37.38375,2921366.8443
2023-03-14,37.64487,37.64487,2938098.77667
2023-03-15,37.82183,37.82183,2948221.35928
2023-03-16,37.87458,37.87458,2951084.60629
2023-03-17,37.88964,37.88964,2951084.60629
2023-03-18,37.90469,37.90469,1767624.83744
2023-03-19,37.95752,37.95752,1769283.09013
2023-03-20,37.85881,37.85881,1763496.6394
2023-03-21,37.98725,37.98725,1768776.56946
2023-03-22,37.92716,37.92716,1765256.61609
2023-03-23,38.01788,38.01788,1768776.56946
2023-03-24,37.83294,37.83294,1759383.23283
2023-03-25,38.04811,38.04811,1791446.34347
2023-03-26,38.13851,38.13851,1794808.43347
2023-03-27,37.87428,37.87428,1781665.5165
2023-03-28,37.88655,37.88655,1781535.40626
2023-03-29,37.95647,37.95647,1783993.85659
2023-03-30,37.97202,37.97202,1783993.85659
2023-03-31,38.06301,38.06301,1787558.27988
2023-04-01,37.96408,37.96408,1757408.24993
2023-04-02,38.01731,38.01731,1764106.79779
2023-04-03,38.03242,38.03242,1764106.79779
2023-04-04,38.04753,38.04753,1764004.90187
2023-04-05,37.98773,37.98773,1760533.28384
2023-04-06,38.11579,38.11579,1761726.36218
2023-04-07,38.09286,38.09286,1759927.58932
2023-04-08,38.10799,38.10799,2262579.95111
2023-04-09,38.08505,38.08505,2260319.63148
2023-04-10,38.17638,38.17638,2264840.27074
2023-04-11,38.03063,38.03063,2254660.99329
