Date,homecoin-Ethereum,homecoin-borrowed,homecoin-Ethereum-borrowed
2022-10-28,494.80759,6698907.62705,6698907.62705
2022-10-29,593.77007,6686098.72675,6686098.72675
2022-10-30,594.31327,6692215.41164,6692215.41164
2022-10-31,594.22413,6691211.57932,6691211.57932
2022-11-01,593.87289,6687256.48002,6687256.48002
2022-11-02,595.5019,6705599.84246,6705599.84246
2022-11-03,442663.84976,6645299.41591,6645299.41591
2022-11-04,294475.45975,6639310.42974,6639310.42974
2022-11-05,193134.95739,6581628.10073,6581628.10073
2022-11-06,194665.91283,6633799.80208,6633799.80208
2022-11-07,195217.27499,6652589.0506,6652589.0506
2022-11-08,196213.62736,6841669.93169,6841669.93169
2022-11-09,0,6834835.09659,6834835.09659
2022-11-10,0,6869009.27208,6869009.27208
2022-11-11,0,6869009.27208,6869009.27208
2022-11-12,0,6855339.60188,6855339.60188
2022-11-13,0,6831793.59498,6831793.59498
2022-11-14,0,6826988.7059,6826988.7059
2022-11-15,0,6959835.09659,6959835.09659
2022-11-16,0,7016844.93169,7016844.93169
2022-11-17,0,7009835.09659,7009835.09659
2022-11-18,0,6957131.98898,6957131.98898
2022-11-19,0,6978764.76679,6978764.76679
2022-11-20,0,6971799.93169,6971799.93169
2022-11-21,0,6971799.93169,6971799.93169
2022-11-22,0,7011839.93169,7011839.93169
2022-11-23,0,7018844.76679,7018844.76679
2022-11-24,0,7044410.93977,7044410.93977
2022-11-25,0,7037380.58953,7037380.58953
2022-11-26,0,7029710.47742,7029710.47742
2022-11-27,0,7037380.58953,7037380.58953
2022-11-28,0,7037380.58953,7037380.58953
2022-11-29,0,7035277.45987,7035277.45987
2022-11-30,0,7070418.70593,7070418.70593
2022-12-01,0,7049333.9583,7049333.9583
2022-12-02,0,7050670.24729,7050670.24729
2022-12-03,0,7147829.78217,7147829.78217
2022-12-04,0,7149724.63921,7149724.63921
2022-12-05,0,7164704.73543,7164704.73543
2022-12-06,0,7157554.33151,7157554.33151
2022-12-07,0,7143962.73027,7143962.73027
2022-12-08,0,7156216.23139,7156216.23139
2022-12-09,0,7142257.73561,7142257.73561
2022-12-10,0,7140691.80062,7140691.80062
2022-12-11,0,7140841.8141,7140841.8141
2022-12-12,0,7143499.19581,7143499.19581
2022-12-13,0,7141452.17629,7141452.17629
2022-12-14,0,6811020.23697,6811020.23697
2022-12-15,0,6568229.98702,6568229.98702
2022-12-16,0,6574433.53373,6574433.53373
2022-12-17,0,6574433.53373,6574433.53373
2022-12-18,0,6567865.66806,6567865.66806
2022-12-19,0,6567793.42153,6567793.42153
2022-12-20,0,6567865.66806,6567865.66806
2022-12-21,0,6562374.93236,6562374.93236
2022-12-22,0,6581001.39939,6581001.39939
2022-12-23,0,6574433.53373,6574433.53373
2022-12-24,0,6567865.66806,6567865.66806
2022-12-25,0,6574433.53373,6574433.53373
2022-12-26,0,6581001.39939,6581001.39939
2022-12-27,0,6574433.53373,6574433.53373
2022-12-28,0,6563386.38367,6563386.38367
2022-12-29,0,6567653.98697,6567653.98697
2022-12-30,0,6604685.98697,6604685.98697
2022-12-31,0,6604685.98697,6604685.98697
2023-01-01,0,6611290.67296,6611290.67296
2023-01-02,0,6604038.72775,6604038.72775
2023-01-03,0,6604685.98697,6604685.98697
2023-01-04,0,6604685.98697,6604685.98697
2023-01-05,0,6611290.67296,6611290.67296
2023-01-06,0,6611290.67296,6611290.67296
2023-01-07,0,6602892.87504,6602892.87504
2023-01-08,0,6609495.76792,6609495.76792
2023-01-09,0,6602892.87504,6602892.87504
2023-01-10,0,6609495.76792,6609495.76792
2023-01-11,0,6595240.1222,6595240.1222
2023-01-12,0,6655716.01804,6655716.01804
2023-01-13,0,6609245.6663,6609245.6663
2023-01-14,0,6615848.30932,6615848.30932
2023-01-15,0,6615848.30932,6615848.30932
2023-01-16,0,6629053.59537,6629053.59537
2023-01-17,0,6602643.02328,6602643.02328
2023-01-18,0,6599850.10528,6599850.10528
2023-01-19,0,6600498.93671,6600498.93671
2023-01-20,0,6600432.91984,6600432.91984
2023-01-21,0,6594828.08737,6594828.08737
2023-01-22,0,6614890.6149,6614890.6149
2023-01-23,0,6608288.92766,6608288.92766
2023-01-24,0,6601687.24042,6601687.24042
2023-01-25,0,6595811.73877,6595811.73877
2023-01-26,0,6577987.18322,6577987.18322
2023-01-27,0,6601687.24042,6601687.24042
2023-01-28,0,6601687.24042,6601687.24042
2023-01-29,0,6608288.92766,6608288.92766
2023-01-30,0,6599785.95449,6599785.95449
2023-01-31,0,6608288.92766,6608288.92766
2023-02-01,0,6608288.92766,6608288.92766
2023-02-02,0,6592156.99092,6592156.99092
2023-02-03,0,6606657.31672,6606657.31672
2023-02-04,0,6606657.31672,6606657.31672
2023-02-05,0,6597166.43438,6597166.43438
2023-02-06,0,6599958.2586,6599958.2586
2023-02-07,0,6606657.31672,6606657.31672
2023-02-08,0,6588500.56716,6588500.56716
2023-02-09,0,6598384.94781,6598384.94781
2023-02-10,0,6598384.94781,6598384.94781
2023-02-11,0,6598384.94781,6598384.94781
2023-02-12,0,6598384.94781,6598384.94781
2023-02-13,0,6568388.68984,6568388.68984
2023-02-14,0,6597698.71578,6597698.71578
2023-02-15,0,6598384.94781,6598384.94781
2023-02-16,0,6611581.71771,6611581.71771
2023-02-17,0,6590156.76178,6590156.76178
2023-02-18,0,6598384.94781,6598384.94781
2023-02-19,0,6595349.69074,6595349.69074
2023-02-20,0,6596774.94188,6596774.94188
2023-02-21,0,6588856.87995,6588856.87995
2023-02-22,0,6597665.72385,6597665.72385
2023-02-23,0,6596823.06464,6596823.06464
2023-02-24,0,6591867.76531,6591867.76531
2023-02-25,0,6594665.43098,6594665.43098
2023-02-26,0,6597740.2239,6597740.2239
2023-02-27,0,6604866.35344,6604866.35344
2023-02-28,0,6604844.11444,6604844.11444
2023-03-01,0,6631237.09791,6631237.09791
2023-03-02,0,6598245.86857,6598245.86857
